object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of winged adult,Probability of apterous adult,Probability of nymph,Probability of larvae,Probability of larvae-nymph small,Probability of molt,Defect Center_0,Defect Center_1,Mean Defect Area,Object Center_0,Object Center_1,Kurtosis of Defect Area,Mean Defect Displacement,Skewness of Defect Area,Variance of Defect Area,Convex Hull Area,Convexity,Convex Hull Center_0,Convex Hull Center_1,Object Area,Number of Defects,Radii of the object_0,Radii of the object_1,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Bounding Box Minimum_0,Bounding Box Minimum_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Size in pixels,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1,Kurtosis of Intensity_0,Kurtosis of Intensity_1,Kurtosis of Intensity_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Total Intensity_0,Total Intensity_1,Total Intensity_2,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Covariance of Channel Intensity in neighborhood_4,Covariance of Channel Intensity in neighborhood_5,Covariance of Channel Intensity in neighborhood_6,Covariance of Channel Intensity in neighborhood_7,Covariance of Channel Intensity in neighborhood_8,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_2,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Skewness of Intensity in neighborhood_2,Euclidean Diameter,Average Branch Length,Center of the Skeleton_0,Center of the Skeleton_1,Number of Branches,Diameter,Length of the Skeleton,Number of Holes
0,0,1,0,nymph,0.02,0.1,0.86,0.0,0.02,0.0,967.1808,301.25226,4735.5,984.08734,274.7372,-0.313671,126.469604,1.0207689,16814956.0,57316.0,0.6695164,978.5,283.5,38374.0,4.0,79.337944,39.096123,122.70748,99.0556,141.36891,18.0,2.0,0.0,50.112682,23.646688,24.494865,890.0,123.0,122.70748,86.826385,55.045662,86.826385,99.0556,89.2476,55.045662,89.2476,141.36891,38374.0,0.5464287,-0.7054782,-0.45134932,0.576287,-0.074326426,0.8138605,0.60770804,0.70482343,-0.36594382,1068.0,445.0,984.08734,274.7372,-0.22394866,2.7631938,2.4641392,0.2785658,-0.96041715,0.96041715,0.2785658,1923024.0,907418.0,939966.0,98.0,86.0,87.0,0.5620784,1.3629975,1.4555244,688.90344,967.2255,874.7269,116.457596,105.79519,118.4113,20.0,18.0,29.0,688.90344,806.80975,713.2797,806.80975,967.2255,857.68506,713.2797,857.68506,874.7269,-0.5104737,-0.8135025,-0.7335403,3126770.0,2840495.0,3179225.0,152.0,145.0,167.0,-0.8311863,-0.7537271,-0.5769822,326.11194,32.867638,987.0,286.0,183.0,360.664,6014.7773,0.0
1,0,2,0,nymph,0.0,0.1,0.9,0.0,0.0,0.0,1317.3134,256.6867,2337.75,1327.8326,273.69806,1.3152251,110.93928,1.602219,14487582.0,51330.0,0.63565165,1324.0,267.5,32628.0,8.0,73.95746,35.60778,159.59772,130.72903,154.23718,18.0,0.0,0.0,46.613796,22.294624,24.99856,1236.0,123.0,159.59772,123.737724,85.80452,123.737724,130.72903,109.808136,85.80452,109.808136,154.23718,32628.0,0.5935699,-0.6425581,-0.48455536,0.5828062,-0.072008826,0.8094144,0.554988,0.7628459,-0.33174458,1413.0,413.0,1327.8326,273.69806,0.6213332,3.5326955,2.9491823,-0.38668108,-0.9222135,0.9222135,-0.38668108,1520915.0,727429.0,815653.0,100.0,80.0,88.0,0.8357496,1.6837552,1.6423941,743.7928,1003.3352,832.425,115.04602,104.62513,116.614975,26.0,17.0,27.0,743.7928,854.6064,708.6923,854.6064,1003.3352,843.2059,708.6923,843.2059,832.425,-0.23541942,-0.5761561,-0.5485474,2899850.0,2637181.0,2939397.0,147.0,140.0,160.0,-0.9921752,-0.8770853,-0.64982325,302.39377,27.07526,1331.0,269.0,189.0,335.80612,5117.224,0.0
2,0,3,0,nymph,0.01,0.31,0.67,0.0,0.0,0.01,451.54993,306.4138,2232.6,455.06317,282.1605,0.79926974,101.160164,0.54974353,3394494.8,36888.0,0.69738126,454.0,289.5,25725.0,5.0,57.154858,36.48511,151.03966,106.71999,142.05296,8.0,0.0,5.0,32.640232,20.842371,30.944334,375.0,174.0,151.03966,117.127235,114.51121,117.127235,106.71999,102.82435,114.51121,102.82435,142.05296,25725.0,0.6203646,-0.569628,-0.53913975,0.52725583,-0.20601371,0.82435405,0.5806453,0.79566467,-0.17253606,534.0,406.0,455.06317,282.1605,0.94470906,2.8432865,4.696719,0.24243134,-0.9701686,0.9701686,0.24243134,839670.0,536170.0,796043.0,98.0,94.0,108.0,0.98321056,1.3859516,1.94763,673.088,876.6749,685.54254,111.45107,101.73215,114.16949,20.0,19.0,20.0,673.088,762.0698,622.9861,762.0698,876.6749,715.0117,622.9861,715.0117,685.54254,-0.47597602,-0.6301387,-0.14870517,2417931.0,2207079.0,2476907.0,145.0,138.0,159.0,-0.8855929,-0.82806367,-0.7424222,223.91293,24.546026,455.0,291.0,150.0,258.82336,3681.904,0.0
3,0,4,0,larvae-nymph small,0.0,0.03,0.15,0.02,0.79,0.01,1155.875,340.38263,1013.1667,1151.3113,334.21933,-1.2297683,58.100197,1.0168842,1919323.8,16428.0,0.629961,1153.0,336.5,10349.0,6.0,40.443504,20.785475,119.54018,72.437225,112.96362,7.0,1.0,7.0,32.951107,21.358778,30.01836,1098.0,263.0,119.54018,86.09658,93.21222,86.09658,72.437225,76.7818,93.21222,76.7818,112.96362,10349.0,0.6315063,-0.5903408,-0.50269026,0.49451742,-0.19269875,0.84753746,0.5972037,0.7838144,-0.17024331,1209.0,411.0,1151.3113,334.21933,-0.3156868,0.62904567,3.5997217,-0.4997652,-0.8661609,0.8661609,-0.4997652,341011.0,221042.0,310660.0,81.0,65.0,96.0,0.5125981,0.7534822,1.6415187,889.5517,1129.0184,885.5111,109.558495,99.38888,110.68048,25.0,15.0,28.0,889.5517,993.9078,825.55927,993.9078,1129.0184,939.10535,825.55927,939.10535,885.5111,-1.0037434,-1.1576111,-0.68489534,1644473.0,1491827.0,1661314.0,146.0,141.0,160.0,-0.64569384,-0.5573828,-0.5736328,163.24828,19.285437,1148.0,341.0,99.0,178.65181,1909.2582,0.0
4,0,5,0,larvae-nymph small,0.0,0.08,0.14,0.01,0.76,0.01,1814.4313,449.3462,1852.25,1820.3097,452.0703,-5.622355,62.29114,0.058697928,3268714.2,18857.0,0.6070955,1818.0,451.0,11448.0,4.0,45.690147,20.174124,112.735146,84.96241,137.61888,32.0,11.0,0.0,54.835953,30.084293,26.26747,1732.0,397.0,112.735146,89.21238,50.02038,89.21238,84.96241,64.49676,50.02038,64.49676,137.61888,11448.0,0.5855509,-0.5618197,-0.58437043,0.55496335,-0.24763364,0.794162,0.59088564,0.7893264,-0.16678725,1905.0,506.0,1820.3097,452.0703,0.30599684,1.6047809,4.3670526,0.9119455,-0.41031125,-0.41031125,-0.9119455,627762.0,344405.0,300710.0,100.0,74.0,98.0,0.89985013,1.2505728,1.7663997,688.4596,959.68475,982.9406,124.40557,115.00744,128.71388,37.0,27.0,29.0,688.4596,804.38617,768.7967,804.38617,959.68475,928.1063,768.7967,928.1063,982.9406,0.46001828,0.16342232,0.25131488,1973570.0,1824478.0,2041917.0,153.0,149.0,170.0,-1.3335987,-1.2402638,-1.1144191,179.2038,24.86233,1819.0,454.0,105.0,199.58073,2610.5444,0.0
5,0,6,0,larvae-nymph small,0.0,0.0,0.0,0.0,1.0,0.0,1471.993,447.71,500.0,1478.7048,442.06656,1.431916,50.49661,1.340299,71226.0,7874.0,0.7459995,1477.0,443.5,5874.0,4.0,32.35732,14.642514,84.12426,87.42116,189.25844,36.0,24.0,14.0,57.81222,43.95846,40.779366,1414.0,413.0,84.12426,81.271225,84.56157,81.271225,87.42116,95.83166,84.56157,95.83166,189.25844,5874.0,0.4611267,-0.5838916,-0.66815627,0.49386638,-0.45670176,0.7399456,0.73719615,0.6711886,-0.07776707,1541.0,475.0,1478.7048,442.06656,0.96405804,0.28413448,0.3095754,0.9956274,0.09341377,0.09341377,-0.9956274,339589.0,258212.0,239538.0,97.0,80.0,91.0,1.0523086,0.9094861,0.987129,472.61478,599.13995,626.30023,120.35111,111.50685,122.87242,47.0,33.0,49.0,472.61478,526.1667,495.4007,526.1667,599.13995,565.95325,495.4007,565.95325,626.30023,-0.2515086,-0.5773604,-0.61008674,1457452.0,1350348.0,1487985.0,149.0,142.0,164.0,-0.90877736,-0.806004,-0.5242602,125.0,18.60695,1476.0,443.0,64.0,138.25484,1190.8448,0.0
6,0,7,0,larvae-nymph small,0.0,0.0,0.055,0.0,0.935,0.01,2302.1487,525.23395,1107.0,2307.8735,519.70953,-3.3978097,45.918007,0.28296834,911287.3,10680.0,0.58539325,2305.5,522.0,6252.0,4.0,31.950195,16.324705,97.40654,100.310684,113.58512,37.0,19.0,15.0,61.62476,38.139477,37.045265,2246.0,478.0,97.40654,93.9239,64.902145,93.9239,100.310684,74.341736,64.902145,74.341736,113.58512,6252.0,0.57189226,-0.4725297,-0.67056316,0.5993528,-0.3174399,0.7348525,0.5601031,0.8221603,-0.10167056,2366.0,567.0,2307.8735,519.70953,1.2592361,1.1155705,1.8636373,0.90311885,0.4293907,0.4293907,-0.90311885,385278.0,238448.0,231607.0,109.0,83.0,87.0,0.99971324,1.0859421,1.3698418,732.66876,1009.14374,1287.4199,133.54222,122.18683,135.60712,58.0,35.0,31.0,732.66876,851.96844,893.88696,851.96844,1009.14374,1077.1475,893.88696,1077.1475,1287.4199,-0.36554977,-0.5244692,-0.33259666,1681163.0,1538210.0,1707158.0,185.0,181.0,200.0,-0.88738805,-0.8233518,-0.8078839,102.78619,15.572136,2305.0,518.0,87.0,141.71068,1354.7759,0.0
7,0,8,0,nymph,0.0,0.13,0.85,0.0,0.02,0.0,506.04715,576.4783,3441.0,512.4223,588.60925,-5.937951,82.96182,-0.009352756,12101191.0,36225.0,0.62004143,510.0,584.0,22461.0,4.0,58.62987,31.06583,142.55577,96.94517,131.0918,3.0,0.0,0.0,31.08085,18.977339,29.663773,423.0,481.0,142.55577,108.87512,117.762146,108.87512,96.94517,102.71795,117.762146,102.71795,131.0918,22461.0,0.62076813,-0.6695954,-0.4077853,0.5165963,-0.041895296,0.8552035,0.58972466,0.7415435,-0.31990325,598.0,688.0,512.4223,588.60925,0.13381283,1.530769,2.823654,0.56899947,-0.82233787,0.82233787,0.56899947,698107.0,426250.0,666278.0,83.0,70.0,88.0,0.85843205,1.1420071,1.551077,645.2027,839.7097,667.86444,109.04337,97.96237,108.82775,23.0,15.0,37.0,645.2027,728.04724,606.2941,728.04724,839.7097,699.9033,606.2941,699.9033,667.86444,-0.5368645,-0.85126066,-0.91404295,2257525.0,2028115.0,2253061.0,144.0,136.0,156.0,-0.76327646,-0.60500044,-0.35524386,237.7667,26.213648,508.0,580.0,141.0,262.01935,3696.1243,0.0
8,0,9,0,nymph,0.0,0.16,0.47,0.0,0.37,0.0,1403.2653,584.96515,1292.2,1393.904,575.30524,-1.2667779,68.28619,0.8923739,2300337.8,19536.0,0.66927725,1397.0,578.5,13075.0,5.0,45.892353,23.082996,126.093834,79.54984,122.74217,9.0,1.0,5.0,35.36344,21.816597,30.282448,1342.0,491.0,126.093834,90.88708,84.44121,90.88708,79.54984,80.66358,84.44121,80.66358,122.74217,13075.0,0.62108666,-0.6290934,-0.46743217,0.5148466,-0.122185335,0.8485303,0.5909182,0.76766676,-0.24799895,1453.0,667.0,1393.904,575.30524,0.02742267,1.100096,3.0055966,-0.37404245,-0.92741156,0.92741156,-0.37404245,462377.0,285252.0,395943.0,79.0,66.0,91.0,0.6338852,0.9751807,1.5752712,744.7311,983.3886,891.68463,112.136055,101.20324,113.371346,43.0,22.0,24.0,744.7311,843.553,755.5326,843.553,983.3886,887.171,755.5326,887.171,891.68463,-0.77583486,-1.0003773,-0.48318836,1854394.0,1673598.0,1874822.0,146.0,141.0,159.0,-0.7414644,-0.6036303,-0.6716257,185.52089,21.639757,1391.0,579.0,108.0,202.16652,2337.0938,0.0
9,0,10,0,nymph,0.01,0.02,0.97,0.0,0.0,0.0,1157.9655,662.1396,5513.75,1167.9768,637.41254,-3.57244,112.51584,0.41249353,35379108.0,63506.0,0.65270996,1164.5,646.0,41451.0,4.0,78.044426,42.817383,164.20734,117.70032,116.38187,2.0,0.0,0.0,32.126366,19.572315,26.678585,1052.0,506.0,164.20734,124.10203,102.48283,124.10203,117.70032,100.20368,102.48283,100.20368,116.38187,41451.0,0.64730734,-0.6419185,-0.41101563,0.5603764,0.035246495,0.8274877,0.5166928,0.76596236,-0.38253132,1278.0,787.0,1167.9768,637.41254,0.57749766,2.3106623,3.6901147,0.5667992,-0.82385594,0.82385594,0.5667992,1331670.0,811292.0,1105854.0,90.0,74.0,95.0,0.8365554,1.4443444,1.7264405,824.20276,1044.0333,918.81744,113.99276,104.935356,118.04368,32.0,20.0,27.0,824.20276,918.68243,812.6628,918.68243,1044.0333,926.31647,812.6628,926.31647,918.81744,-0.76980674,-0.9045347,-0.6288954,3131609.0,2882784.0,3242896.0,148.0,141.0,161.0,-0.8199786,-0.75465614,-0.6759514,328.288,29.930883,1174.0,643.0,190.0,356.14423,5686.8677,0.0
