object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of winged adult,Probability of apterous adult,Probability of nymph,Probability of larvae,Probability of larvae-nymph small,Probability of molt,Defect Center_0,Defect Center_1,Mean Defect Area,Object Center_0,Object Center_1,Kurtosis of Defect Area,Mean Defect Displacement,Skewness of Defect Area,Variance of Defect Area,Convex Hull Area,Convexity,Convex Hull Center_0,Convex Hull Center_1,Object Area,Number of Defects,Radii of the object_0,Radii of the object_1,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Bounding Box Minimum_0,Bounding Box Minimum_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Size in pixels,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1,Kurtosis of Intensity_0,Kurtosis of Intensity_1,Kurtosis of Intensity_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Total Intensity_0,Total Intensity_1,Total Intensity_2,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Covariance of Channel Intensity in neighborhood_4,Covariance of Channel Intensity in neighborhood_5,Covariance of Channel Intensity in neighborhood_6,Covariance of Channel Intensity in neighborhood_7,Covariance of Channel Intensity in neighborhood_8,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_2,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Skewness of Intensity in neighborhood_2,Euclidean Diameter,Average Branch Length,Center of the Skeleton_0,Center of the Skeleton_1,Number of Branches,Diameter,Length of the Skeleton,Number of Holes
0,0,1,0,larvae-nymph small,0.0,0.01,0.18666668,0.0,0.68333334,0.12,570.22736,289.91687,690.6,568.09503,282.24323,-1.5237526,40.115692,0.9031585,759518.3,8136.0,0.57558995,569.0,285.5,4683.0,5.0,30.750858,12.516641,29.184973,13.314197,107.58282,20.0,15.0,27.0,38.012814,28.205423,47.490498,513.0,250.0,29.184973,15.046482,43.989445,15.046482,13.314197,26.589396,43.989445,26.589396,107.58282,4683.0,0.4018841,-0.7578017,-0.5140289,0.24278341,-0.45308447,0.85777074,0.88291866,0.46952212,-0.0018942414,626.0,322.0,568.09503,282.24323,6.3082356,7.341611,1.4820281,0.8990527,-0.43784043,-0.43784043,-0.8990527,178014.0,132086.0,222398.0,73.0,56.0,92.0,1.8368444,1.819438,1.3493713,2491.7073,2855.4165,1779.0759,149.70993,138.8144,164.6862,32.0,25.0,48.0,2491.7073,2656.7961,2013.3547,2656.7961,2855.4165,2156.8877,2013.3547,2156.8877,1779.0759,-0.5209888,-0.6913891,-0.38724557,1722263.0,1596921.0,1894550.0,195.0,186.0,215.0,-1.0461793,-0.99152595,-0.911753,118.5327,15.308199,568.0,279.0,68.0,133.29646,1040.9575,0.0
1,0,2,0,larvae-nymph small,0.0,0.04,0.12333333,0.0,0.7166667,0.12,891.7659,327.84647,707.8333,897.2337,334.0234,-0.49359602,45.626965,1.0651697,824813.4,10396.0,0.5914775,895.0,331.5,6149.0,6.0,31.106771,16.388493,80.49925,105.06446,109.76288,46.0,17.0,23.0,72.85233,39.930557,48.76484,839.0,286.0,80.49925,68.92844,64.63774,68.92844,105.06446,80.20615,64.63774,80.20615,109.76288,6149.0,0.50330245,-0.5402754,-0.67438054,0.60936517,-0.33142537,0.7202995,0.6126669,0.7734725,-0.16241777,952.0,378.0,897.2337,334.0234,0.42048004,0.06866907,0.11782393,0.85107523,-0.5250437,-0.5250437,-0.85107523,447969.0,245533.0,299855.0,107.0,75.0,90.0,0.68356794,0.7752552,0.6439829,1215.9897,2061.54,1856.8215,153.01158,133.89085,149.50208,65.0,34.0,49.0,1215.9897,1565.3319,1378.1631,1565.3319,2061.54,1836.5585,1378.1631,1836.5585,1856.8215,-1.1879652,-1.3448061,-1.1443676,1875769.0,1641368.0,1832746.0,197.0,188.0,215.0,-0.4984179,-0.42035148,-0.33340713,114.28473,16.595299,894.0,335.0,71.0,136.68124,1221.2367,1.0
2,0,3,0,larvae-nymph small,0.0,0.07,0.3,0.0,0.52,0.11,2117.687,402.9455,2192.75,2111.7336,393.70737,-5.967494,55.367096,0.005481241,5564358.0,18876.0,0.5353359,2114.5,398.0,10105.0,4.0,44.013813,18.755138,87.09224,64.29595,84.54285,40.0,21.0,25.0,69.732704,40.061653,47.812172,2049.0,327.0,87.09224,68.27408,58.27201,68.27408,64.29595,58.125683,58.27201,58.125683,84.54285,10105.0,0.6128237,-0.5818869,-0.53465384,0.54466426,-0.17916654,0.8192925,0.57252765,0.7932887,-0.20713548,2181.0,470.0,2111.7336,393.70737,0.77240705,0.5536366,1.9072176,0.67368853,-0.7390154,0.7390154,0.67368853,704649.0,404823.0,483142.0,105.0,71.0,92.0,0.78343797,0.8941263,1.2463734,1767.7302,2472.3,2464.182,161.64224,145.09203,164.6448,64.0,36.0,42.0,1767.7302,2075.136,1931.2102,2075.136,2472.3,2334.0205,1931.2102,2334.0205,2464.182,-1.2520182,-1.3387754,-0.89941466,2509819.0,2252844.0,2556440.0,216.0,206.0,236.0,-0.51354283,-0.46514726,-0.5531935,174.00287,19.55866,2113.0,395.0,101.0,189.24979,1975.4247,0.0
3,0,4,0,larvae-nymph small,0.0,0.11,0.29333335,0.0,0.57666665,0.02,1651.2617,399.3853,2260.5,1644.4407,403.21982,-5.9786396,58.86938,-0.0036693125,5571825.5,20160.0,0.5514881,1647.5,401.5,11118.0,4.0,45.086872,20.243355,130.4681,111.61858,91.31036,44.0,21.0,11.0,67.29412,40.0179,39.378216,1568.0,339.0,130.4681,114.0461,54.771294,114.0461,111.61858,60.7216,54.771294,60.7216,91.31036,11118.0,0.66269433,-0.39480993,-0.6363658,0.6261087,-0.17412807,0.7600443,0.41088217,0.9021112,-0.13180025,1728.0,465.0,1644.4407,403.21982,1.7465366,1.4416937,2.1958976,0.8126587,-0.5827399,-0.5827399,-0.8126587,748176.0,444919.0,437807.0,120.0,89.0,87.0,1.2549548,1.2837182,1.3806479,1790.7249,2488.0894,2476.2732,160.12387,145.04372,162.41228,62.0,31.0,38.0,1790.7249,2098.3337,1988.5084,2098.3337,2488.0894,2379.2,1988.5084,2379.2,2476.2732,-1.0522249,-1.1529408,-0.8970557,2571109.0,2328967.0,2607854.0,208.0,201.0,230.0,-0.66021657,-0.61235267,-0.57123214,174.86566,22.425495,1648.0,400.0,100.0,201.17871,2242.5496,0.0
4,0,5,0,larvae-nymph small,0.0,0.23333332,0.32266667,0.0,0.404,0.04,983.5634,464.39758,1338.6,972.63464,488.38733,2.656448,80.84749,1.3152694,1539727.2,21735.0,0.6920635,976.0,481.0,15042.0,5.0,51.617344,24.364296,107.9838,121.02639,132.21646,47.0,12.0,16.0,68.83639,32.253292,40.302887,924.0,378.0,107.9838,101.28336,69.84034,101.28336,121.02639,90.47952,69.84034,90.47952,132.21646,15042.0,0.54440033,-0.5383322,-0.6432937,0.6130075,-0.26816046,0.7431768,0.57258195,0.7989295,-0.18401504,1029.0,585.0,972.63464,488.38733,2.1982737,1.4979993,1.3508432,0.12280211,-0.99243116,0.99243116,0.12280211,1035437.0,485154.0,606236.0,128.0,89.0,91.0,1.2314761,1.1566854,1.2779521,1480.4697,2298.582,1645.3496,148.92267,131.09369,148.97829,48.0,32.0,45.0,1480.4697,1818.9447,1376.1968,1818.9447,2298.582,1775.7711,1376.1968,1775.7711,1645.3496,-1.1905608,-1.3399493,-0.92930526,2777110.0,2444635.0,2778147.0,200.0,190.0,216.0,-0.4767708,-0.41016003,-0.35973606,184.6104,20.1481,970.0,472.0,130.0,241.02438,2619.2532,0.0
5,0,6,0,nymph,0.07,0.23333332,0.46666664,0.01,0.19,0.03,770.1257,682.0459,4514.0,794.86505,711.4384,2.4643068,122.19449,1.5948637,15488263.0,53400.0,0.6618727,786.5,701.5,35344.0,4.0,72.23903,39.913223,84.24261,84.38812,95.50035,38.0,12.0,14.0,62.879017,33.447826,36.237267,698.0,552.0,84.24261,77.45979,59.35538,77.45979,84.38812,66.28032,59.35538,66.28032,95.50035,35344.0,0.57136244,-0.5013906,-0.6497326,0.5899886,-0.2993836,0.7498553,0.57048965,0.81177396,-0.12475815,876.0,852.0,794.86505,711.4384,3.3737016,3.485726,3.1849685,-0.29544604,-0.95535946,0.95535946,-0.29544604,2222396.0,1182180.0,1280770.0,128.0,96.0,95.0,1.1605965,1.3467343,1.6552184,1615.878,2320.2559,1762.0592,150.26402,134.19887,151.22461,42.0,28.0,43.0,1615.878,1924.919,1556.5908,1924.919,2320.2559,1888.5148,1556.5908,1888.5148,1762.0592,-1.1648712,-1.3219415,-0.91189855,3862687.0,3449716.0,3887380.0,203.0,193.0,215.0,-0.546849,-0.49070224,-0.5081483,304.38135,31.643372,798.0,700.0,176.0,337.52185,5569.2334,0.0
6,0,7,0,nymph,0.03,0.25333333,0.35666665,0.02,0.25,0.09,1932.7072,655.8917,2322.889,1899.5027,636.1718,4.219807,135.50659,2.0314143,14047274.0,60377.0,0.6537423,1911.0,643.0,39471.0,9.0,83.93528,38.718266,242.51077,160.98322,94.124176,48.0,12.0,9.0,79.90276,41.079807,35.025513,1737.0,557.0,242.51077,169.21239,16.406118,169.21239,160.98322,56.957985,16.406118,56.957985,94.124176,39471.0,0.76463556,-0.38194042,-0.5190895,0.6227935,0.23081304,0.74756515,0.16571268,0.8949005,-0.41435787,2086.0,730.0,1899.5027,636.1718,2.350743,1.8136001,1.9311845,0.9759325,-0.21807301,-0.21807301,-0.9759325,3153842.0,1621461.0,1382492.0,150.0,106.0,86.0,1.5714936,1.3578274,1.2823486,1805.9746,2577.1284,3030.9531,158.90463,142.1839,155.18355,52.0,35.0,11.0,1805.9746,2141.5525,2168.079,2141.5525,2577.1284,2654.6306,2168.079,2654.6306,3030.9531,-1.3200147,-1.4624792,-1.1788195,4449171.0,3981007.0,4344984.0,217.0,209.0,237.0,-0.40186128,-0.35207143,-0.39245668,350.65652,152.43251,1914.0,639.0,4.0,388.00714,808.0387,4.0
7,0,8,0,nymph,0.01,0.21,0.47,0.0,0.27,0.04,1198.0614,672.5991,1455.3334,1226.0892,667.6181,2.6511445,83.39429,1.9000477,7708209.0,34668.0,0.6221876,1215.5,669.5,21570.0,9.0,58.898888,29.965729,86.490524,98.08981,133.43942,55.0,17.0,6.0,92.41498,42.17608,33.44381,1109.0,589.0,86.490524,66.71859,11.746011,66.71859,98.08981,63.377163,11.746011,63.377163,133.43942,21570.0,0.4246005,-0.66898286,-0.61006254,0.6425236,-0.25207725,0.7236163,0.6378698,0.6992274,-0.32280514,1323.0,751.0,1226.0892,667.6181,0.82650554,1.0284518,2.197487,0.8610118,0.508585,0.508585,-0.8610118,1993391.0,909738.0,721383.0,133.0,85.0,94.0,0.32577583,0.9049961,1.3530672,1163.7186,2043.711,1824.8661,164.4961,147.39014,163.66946,60.0,35.0,46.0,1163.7186,1514.745,1308.856,1514.745,2043.711,1816.7076,1308.856,1816.7076,1824.8661,-0.6457022,-1.0029145,-0.6364423,3370196.0,3019729.0,3353260.0,203.0,195.0,221.0,-0.8440596,-0.7487676,-0.7280461,239.13385,30.838642,1218.0,663.0,136.0,261.53406,4194.055,0.0
8,0,9,0,larvae-nymph small,0.0,0.01,0.15,0.01,0.68,0.15,343.60657,652.4604,1302.1666,350.02313,649.699,-1.8753706,53.224075,0.9622165,3648936.2,16583.0,0.52885485,347.0,651.0,8770.0,6.0,43.748894,16.311178,98.52022,85.32173,144.36768,51.0,18.0,27.0,75.18392,41.425312,49.13569,267.0,600.0,98.52022,81.38267,44.78428,81.38267,85.32173,66.25312,44.78428,66.25312,144.36768,8770.0,0.52790517,-0.5974724,-0.60360825,0.55686104,-0.2931232,0.7771644,0.64126587,0.746395,-0.17796788,428.0,703.0,350.02313,649.699,0.7892761,0.82685393,0.6690162,0.8782772,-0.4781519,-0.4781519,-0.8782772,659363.0,363300.0,430920.0,115.0,82.0,98.0,0.8011375,0.91896087,1.0290668,1340.8448,2033.0138,1506.099,152.62787,134.97638,155.32253,59.0,31.0,52.0,1340.8448,1638.9254,1312.2411,1638.9254,2033.0138,1629.5275,1312.2411,1629.5275,1506.099,-1.0440809,-1.1959227,-0.81906325,2319333.0,2051101.0,2360281.0,198.0,189.0,218.0,-0.631297,-0.5508455,-0.47884473,167.69318,18.922815,351.0,651.0,99.0,196.13708,1911.7434,1.0
9,0,10,0,larvae-nymph small,0.0,0.16,0.24333334,0.0,0.5133334,0.08333333,1453.0088,822.5711,2531.6,1457.3446,833.3037,-2.0218408,62.557648,0.80558115,9561707.0,23408.0,0.4592447,1455.0,827.5,10750.0,5.0,47.22857,18.915552,146.5234,91.07556,105.520584,31.0,13.0,24.0,53.9533,32.779068,43.981396,1389.0,740.0,146.5234,107.14987,95.28034,107.14987,91.07556,78.895424,95.28034,78.895424,105.520584,10750.0,0.6684082,-0.507415,-0.5438387,0.52652925,-0.19364493,0.8278095,0.52535456,0.83966166,-0.13773496,1522.0,916.0,1457.3446,833.3037,1.0328305,3.1711488,1.9738618,-0.6122534,-0.7906616,0.7906616,-0.6122534,579998.0,352375.0,472800.0,109.0,83.0,95.0,1.019517,1.6374923,1.4673879,2150.8162,2860.1128,2192.3154,149.21146,133.14362,151.74289,50.0,27.0,43.0,2150.8162,2465.1985,1997.0679,2465.1985,2860.1128,2327.8923,1997.0679,2327.8923,2192.3154,-1.3579606,-1.4762211,-1.0775098,2555843.0,2280617.0,2599204.0,213.0,204.0,229.0,-0.34639883,-0.28658852,-0.34178624,176.87566,18.131584,1462.0,833.0,117.0,222.17871,2121.3953,0.0
