object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of winged adult,Probability of apterous adult,Probability of nymph,Probability of larvae,Probability of larvae-nymph small,Probability of molt,Defect Center_0,Defect Center_1,Mean Defect Area,Object Center_0,Object Center_1,Kurtosis of Defect Area,Mean Defect Displacement,Skewness of Defect Area,Variance of Defect Area,Convex Hull Area,Convexity,Convex Hull Center_0,Convex Hull Center_1,Object Area,Number of Defects,Radii of the object_0,Radii of the object_1,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Bounding Box Minimum_0,Bounding Box Minimum_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Size in pixels,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1,Kurtosis of Intensity_0,Kurtosis of Intensity_1,Kurtosis of Intensity_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Total Intensity_0,Total Intensity_1,Total Intensity_2,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Covariance of Channel Intensity in neighborhood_4,Covariance of Channel Intensity in neighborhood_5,Covariance of Channel Intensity in neighborhood_6,Covariance of Channel Intensity in neighborhood_7,Covariance of Channel Intensity in neighborhood_8,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_2,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Skewness of Intensity in neighborhood_2,Euclidean Diameter,Average Branch Length,Center of the Skeleton_0,Center of the Skeleton_1,Number of Branches,Diameter,Length of the Skeleton,Number of Holes
0,0,1,0,larvae-nymph small,0.0,0.0,0.05,0.0,0.95,0.0,1491.1646,359.64502,1648.0,1498.1971,355.71194,-4.96359,51.41748,0.17557454,2952838.0,14500.0,0.5453793,1495.0,357.5,7908.0,4.0,39.25855,16.33376,65.48323,42.28512,88.951836,21.0,10.0,9.0,41.344334,28.606853,30.142641,1423.0,308.0,65.48323,47.745262,46.79598,47.745262,42.28512,42.70251,46.79598,42.70251,88.951836,7908.0,0.57305664,-0.59751934,-0.56087136,0.47598332,-0.3144471,0.8213178,0.66711766,0.737627,-0.10421324,1568.0,408.0,1498.1971,355.71194,0.6527731,0.6249191,3.2804384,0.8530238,0.521872,0.521872,-0.8530238,326951.0,226223.0,238368.0,76.0,60.0,84.0,0.7935976,0.6102864,1.3963536,901.04407,1133.7677,1039.8652,116.395256,107.3944,118.315506,33.0,23.0,27.0,901.04407,1004.0633,909.51086,1004.0633,1133.7677,1025.8483,909.51086,1025.8483,1039.8652,-0.70559216,-0.88488436,-0.3137242,1634655.0,1508247.0,1661623.0,149.0,145.0,163.0,-0.8827847,-0.8120555,-0.8418874,153.6522,19.74573,1497.0,353.0,87.0,174.2376,1717.8784,0.0
1,0,2,0,larvae-nymph small,0.0,0.13,0.26,0.1,0.5,0.01,1038.4192,417.026,900.2,1038.532,424.66602,0.97510356,68.65502,-1.0940685,328790.7,15876.0,0.7164903,1038.5,422.5,11375.0,5.0,39.66703,23.1407,91.71418,80.257935,136.44519,8.0,2.0,7.0,34.973186,24.072615,29.653978,990.0,342.0,91.71418,78.88441,82.77956,78.88441,80.257935,85.54855,82.77956,85.54855,136.44519,11375.0,0.5369058,-0.60451746,-0.58846474,0.5208825,-0.3111626,0.79489577,0.66363657,0.73330516,-0.14781757,1088.0,504.0,1038.532,424.66602,1.3088906,2.9518328,2.7452052,0.0466976,-0.99890906,0.99890906,0.0466976,397820.0,273826.0,337314.0,85.0,78.0,87.0,1.0054612,1.4049299,1.4948878,920.56775,1157.9185,923.3046,104.9361,94.596054,102.05288,33.0,20.0,16.0,920.56775,1024.2604,855.9274,1024.2604,1157.9185,961.58105,855.9274,961.58105,923.3046,-1.0596381,-1.1957793,-0.6607543,1599436.0,1441833.0,1555490.0,150.0,143.0,157.0,-0.506181,-0.39268595,-0.37978908,142.76204,21.552721,1038.0,423.0,91.0,174.88225,1961.2977,0.0
2,0,3,0,nymph,0.0,0.38,0.54,0.0,0.08,0.0,653.957,463.4725,873.1429,671.39294,471.15625,-0.1297673,89.73251,0.6713894,765420.1,21780.0,0.71937555,666.5,469.0,15668.0,7.0,53.04465,23.833103,177.48529,134.80136,273.0615,7.0,0.0,7.0,31.354992,20.453856,33.48149,557.0,420.0,177.48529,144.83122,192.01378,144.83122,134.80136,172.65286,192.01378,172.65286,273.0615,15668.0,0.54586786,-0.6316696,-0.5504742,0.48010272,-0.3026323,0.823356,0.6866802,0.7137277,-0.13806903,777.0,519.0,671.39294,471.15625,3.957773,11.070709,4.417594,0.9992043,-0.039884843,-0.039884843,-0.9992043,491270.0,320471.0,524588.0,115.0,113.0,119.0,1.5685427,2.5697584,2.0053077,665.9492,911.8034,650.1046,114.20471,105.114334,117.76363,34.0,24.0,27.0,665.9492,772.69214,595.7195,772.69214,911.8034,698.4701,595.7195,698.4701,650.1046,-0.1766366,-0.49592486,0.021237155,2092573.0,1926010.0,2157783.0,143.0,137.0,156.0,-1.0395557,-0.9391045,-0.8441564,214.03738,22.422161,666.0,470.0,121.0,231.01219,2713.0815,0.0
3,0,4,0,larvae-nymph small,0.0,0.02,0.15,0.0,0.82,0.01,1217.0267,483.8238,1261.25,1229.4146,480.99023,-4.542099,54.356216,0.21556526,1463460.9,14157.0,0.6436392,1225.0,482.0,9112.0,4.0,37.919247,19.723806,82.21278,55.482265,67.072296,12.0,2.0,5.0,36.21137,25.348331,28.90913,1154.0,433.0,82.21278,63.076836,55.171425,63.076836,55.482265,47.698357,55.171425,47.698357,67.072296,9112.0,0.64865816,-0.49447894,-0.5785613,0.5348271,-0.24469164,0.8087558,0.54148185,0.83403635,-0.10573953,1297.0,532.0,1229.4146,480.99023,-0.42606163,-0.26082388,1.8770747,0.9096474,0.41538128,0.41538128,-0.9096474,329958.0,230974.0,263420.0,67.0,55.0,72.0,0.40743738,0.36569113,1.033202,1136.2103,1361.8981,1219.531,97.91325,87.72256,94.33788,26.0,13.0,9.0,1136.2103,1236.6143,1104.7584,1236.6143,1361.8981,1211.8461,1104.7584,1211.8461,1219.531,-1.3428733,-1.3966578,-0.94280547,1399670.0,1253994.0,1348560.0,147.0,141.0,157.0,-0.2869481,-0.21709704,-0.3543011,149.8933,21.329857,1224.0,478.0,85.0,167.58073,1813.0378,0.0
4,0,5,0,nymph,0.0,0.405,0.525,0.01,0.06,0.0,1553.3175,521.5836,1197.0,1537.4719,541.0679,3.351896,76.35558,1.735875,1483372.0,20944.0,0.714238,1542.0,535.5,14959.0,5.0,44.54583,27.359673,88.58404,49.76168,86.07863,5.0,1.0,7.0,28.685205,19.294004,27.046862,1483.0,448.0,88.58404,58.622063,61.73485,58.622063,49.76168,50.336113,61.73485,50.336113,86.07863,14959.0,0.63713926,-0.5935607,-0.49166992,0.47907138,-0.19473392,0.8559026,0.60377496,0.78087413,-0.16028531,1602.0,624.0,1537.4719,541.0679,0.40951365,2.930076,5.8847666,0.27615848,-0.9611121,0.9611121,0.27615848,429102.0,288619.0,404594.0,90.0,83.0,86.0,0.7822073,1.1307008,2.0783422,1124.9039,1374.1427,1034.5157,110.12571,100.896454,112.03247,21.0,17.0,22.0,1124.9039,1233.0206,992.6269,1233.0206,1374.1427,1107.5433,992.6269,1107.5433,1034.5157,-1.0563505,-1.217781,-0.8533362,1868613.0,1712011.0,1900967.0,152.0,144.0,161.0,-0.63711494,-0.55525917,-0.50376934,172.66151,24.951141,1536.0,535.0,109.0,200.61017,2719.6746,0.0
5,0,6,0,nymph,0.13,0.19,0.68,0.0,0.0,0.0,959.49005,601.4261,3749.75,972.04034,575.64667,-1.2466239,84.18696,0.80663824,17011256.0,37347.0,0.5983881,967.0,586.0,22348.0,4.0,58.98651,31.199299,152.91493,114.744354,212.42793,3.0,0.0,4.0,27.372383,18.719036,28.536335,879.0,481.0,152.91493,122.1768,142.97882,122.1768,114.744354,134.33434,142.97882,134.33434,212.42793,22348.0,0.55755305,-0.6415734,-0.52679986,0.49607155,-0.2513257,0.83111274,0.66561824,0.7247199,-0.17813891,1056.0,692.0,972.04034,575.64667,10.3311,22.358562,7.9159303,0.5775881,-0.8163284,0.8163284,0.5775881,611718.0,418333.0,637730.0,134.0,131.0,124.0,2.1126447,3.3374279,2.552971,1015.3306,1244.4154,1049.0857,106.637985,98.02667,107.46039,25.0,15.0,17.0,1015.3306,1115.5142,938.331,1115.5142,1244.4154,1045.1937,938.331,1045.1937,1049.0857,-0.9811965,-1.1372867,-0.7480504,2282906.0,2098555.0,2300512.0,145.0,139.0,157.0,-0.6474037,-0.57455033,-0.5436509,247.49344,25.271942,982.0,584.0,128.0,268.06097,3234.8086,0.0
6,0,7,0,larvae-nymph small,0.0,0.01,0.03,0.0,0.9175,0.0425,1116.2042,536.8916,1234.0,1121.7645,540.4486,-4.5940113,48.183533,0.17315651,1452918.6,12120.0,0.5927393,1119.5,539.0,7184.0,4.0,33.82528,17.29108,43.916138,37.23188,115.28532,17.0,9.0,5.0,36.807766,24.737194,27.198217,1060.0,489.0,43.916138,36.075733,50.987713,36.075733,37.23188,48.61334,50.987713,48.61334,115.28532,7184.0,0.44328338,-0.62111205,-0.64631236,0.41439724,-0.49735063,0.7621793,0.7948426,0.6056915,-0.03691984,1180.0,590.0,1121.7645,540.4486,1.0913043,1.795308,1.621283,0.7980669,-0.60256886,-0.60256886,-0.7980669,264427.0,177712.0,195392.0,67.0,57.0,81.0,0.5100244,0.64760077,1.2131764,1097.7911,1254.1388,979.9995,92.04948,81.49344,86.627815,14.0,3.0,11.0,1097.7911,1164.8954,949.17126,1164.8954,1254.1388,1011.3454,949.17126,1011.3454,979.9995,-1.2785169,-1.3185226,-0.98997885,1192593.0,1055829.0,1122350.0,145.0,140.0,149.0,-0.19746472,-0.08845136,-0.3067996,131.48764,17.950035,1119.0,545.0,87.0,146.09546,1561.6531,0.0
7,0,8,0,larvae-nymph small,0.0,0.0,0.095,0.0,0.905,0.0,1358.8379,576.5193,1417.25,1361.5773,581.4318,-5.982559,51.659866,-0.0013901558,2149244.2,14416.0,0.6067564,1360.5,579.5,8747.0,4.0,38.788925,18.14071,80.05481,60.281006,91.680374,19.0,9.0,2.0,38.73065,25.577684,28.08803,1308.0,512.0,80.05481,64.71556,62.40647,64.71556,60.281006,56.410103,62.40647,56.410103,91.680374,8747.0,0.59604365,-0.5121774,-0.6183901,0.52067894,-0.33973405,0.7832459,0.611249,0.7888315,-0.06418367,1414.0,648.0,1361.5773,581.4318,0.5427975,0.8573905,2.3769498,0.5255553,-0.85075945,0.85075945,0.5255553,338777.0,223728.0,245686.0,75.0,60.0,75.0,0.77641296,0.7525624,1.3440173,971.9696,1208.0945,1057.7448,108.49637,98.388466,106.220085,34.0,22.0,16.0,971.9696,1076.5037,948.0333,1076.5037,1208.0945,1057.1686,948.0333,1057.1686,1057.7448,-1.0705348,-1.2159585,-0.6494454,1525242.0,1383145.0,1493242.0,148.0,142.0,157.0,-0.5323302,-0.44126016,-0.60420835,151.01324,19.915054,1360.0,580.0,86.0,171.5513,1712.6947,0.0
8,0,9,0,nymph,0.0,0.26,0.73,0.0,0.01,0.0,406.09427,606.5931,2917.2,417.1568,600.3879,-3.2864816,80.648125,0.5858127,12168495.0,34650.0,0.5790476,412.5,603.0,20064.0,5.0,57.71117,28.395844,183.68475,139.49046,287.0799,4.0,0.0,8.0,30.181519,20.05298,33.848385,308.0,521.0,183.68475,152.0793,207.61604,152.0793,139.49046,181.9132,207.61604,181.9132,287.0799,20064.0,0.54683316,-0.5677594,-0.61532325,0.47588193,-0.39390436,0.78636867,0.68884677,0.7228337,-0.054786474,518.0,686.0,417.1568,600.3879,4.502898,8.522198,3.4317203,0.83924294,-0.5437566,-0.5437566,-0.83924294,605562.0,402343.0,679134.0,122.0,113.0,117.0,1.6711067,2.2941632,1.848049,621.0867,811.6296,508.41263,114.73741,106.03386,117.66232,28.0,17.0,37.0,621.0867,704.66534,499.548,704.66534,811.6296,572.0459,499.548,572.0459,508.41263,0.0709306,-0.22107573,-0.083926745,2335021.0,2157895.0,2394546.0,142.0,136.0,152.0,-1.1426392,-1.0560049,-0.7600275,203.27321,23.081917,410.0,602.0,149.0,256.04877,3439.2056,0.0
9,0,10,0,nymph,0.0,0.42333335,0.56666666,0.0,0.01,0.0,1691.8229,619.177,1912.25,1674.0826,646.9948,3.7871637,84.58337,1.9339994,2098057.0,25048.0,0.69462633,1679.5,638.5,17399.0,4.0,49.799526,28.558943,102.91335,63.236877,94.07454,7.0,1.0,6.0,27.495949,20.376516,28.98477,1618.0,538.0,102.91335,73.159035,72.90893,73.159035,63.236877,63.29782,72.90893,63.29782,94.07454,17399.0,0.6350899,-0.6032539,-0.4824371,0.50570196,-0.1473952,0.8500236,0.583889,0.7838108,-0.21145749,1742.0,740.0,1674.0826,646.9948,0.9726024,3.2576602,6.947288,0.145953,-0.98929155,0.98929155,0.145953,478402.0,354531.0,504306.0,74.0,68.0,96.0,1.148322,1.4997013,2.214142,1099.5137,1333.3005,1144.5042,109.03181,100.121216,110.56628,23.0,16.0,23.0,1099.5137,1200.8156,1039.651,1200.8156,1333.3005,1159.141,1039.651,1159.141,1144.5042,-1.2964886,-1.4431978,-1.0590035,2008584.0,1844433.0,2036852.0,152.0,144.0,162.0,-0.47234476,-0.39769202,-0.41197127,192.21342,25.385895,1675.0,636.0,126.0,222.1249,3198.6228,0.0
