object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of winged adult,Probability of apterous adult,Probability of nymph,Probability of larvae,Probability of larvae-nymph small,Probability of molt,Defect Center_0,Defect Center_1,Mean Defect Area,Object Center_0,Object Center_1,Kurtosis of Defect Area,Mean Defect Displacement,Skewness of Defect Area,Variance of Defect Area,Convex Hull Area,Convexity,Convex Hull Center_0,Convex Hull Center_1,Object Area,Number of Defects,Radii of the object_0,Radii of the object_1,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Bounding Box Minimum_0,Bounding Box Minimum_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Size in pixels,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1,Kurtosis of Intensity_0,Kurtosis of Intensity_1,Kurtosis of Intensity_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Total Intensity_0,Total Intensity_1,Total Intensity_2,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Covariance of Channel Intensity in neighborhood_4,Covariance of Channel Intensity in neighborhood_5,Covariance of Channel Intensity in neighborhood_6,Covariance of Channel Intensity in neighborhood_7,Covariance of Channel Intensity in neighborhood_8,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_2,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Skewness of Intensity in neighborhood_2,Euclidean Diameter,Average Branch Length,Center of the Skeleton_0,Center of the Skeleton_1,Number of Branches,Diameter,Length of the Skeleton,Number of Holes
0,0,1,0,larvae-nymph small,0.0,0.02,0.32833332,0.03,0.6116667,0.01,2335.7544,281.98535,1144.5,2343.4646,290.09094,0.659247,62.900867,0.69959635,476175.0,14322.0,0.6803519,2341.0,287.5,9744.0,4.0,37.606216,21.158064,98.31683,70.249626,95.95869,21.0,7.0,16.0,43.17888,27.457409,39.637623,2295.0,211.0,98.31683,71.86297,66.43695,71.86297,70.249626,66.267975,66.43695,66.267975,95.95869,9744.0,0.6092827,-0.6467481,-0.45879352,0.53345245,-0.09377058,0.84061617,0.5866883,0.7569174,-0.28787655,2388.0,365.0,2343.4646,290.09094,1.3635545,0.99935836,2.6902955,-0.21631564,-0.9763235,0.9763235,-0.21631564,420735.0,267545.0,386229.0,93.0,74.0,90.0,1.103817,0.8578822,1.4413891,927.4345,1301.7445,1304.1262,116.28469,103.23717,118.10311,34.0,17.0,26.0,927.4345,1086.239,1008.61694,1086.239,1301.7445,1221.5112,1008.61694,1221.5112,1304.1262,-1.0619109,-1.256336,-1.0067797,1683686.0,1494771.0,1710015.0,162.0,155.0,178.0,-0.4499119,-0.35747296,-0.26230216,151.0298,21.460978,2340.0,286.0,82.0,174.1249,1759.8002,0.0
1,0,2,0,larvae-nymph small,0.0,0.01,0.04,0.0,0.62,0.33,1137.4095,293.22705,678.8571,1131.7302,297.01318,-1.0001467,52.691563,1.0403373,713267.8,11890.0,0.60033643,1134.0,295.5,7138.0,7.0,36.276783,16.421612,64.58798,77.1552,212.53583,56.0,29.0,0.0,86.179886,57.889465,19.331045,1062.0,255.0,64.58798,59.052807,-4.7576437,59.052807,77.1552,37.59123,-4.7576437,37.59123,212.53583,7138.0,0.074473396,-0.69343925,0.7166559,0.27700385,-0.6759848,-0.6828714,0.95797837,0.24937221,0.14174247,1207.0,337.0,1131.7302,297.01318,0.6873847,1.447702,0.993415,0.95102346,-0.3091187,-0.3091187,-0.95102346,615152.0,413215.0,137985.0,116.0,95.0,77.0,-0.2585013,0.42696953,1.2033523,320.0848,587.9842,1350.9084,114.30138,100.01147,94.463005,57.0,38.0,0.0,320.0848,422.96567,523.51117,422.96567,587.9842,777.03235,523.51117,777.03235,1350.9084,-0.8550534,-1.0226424,-0.7115028,1625137.0,1421963.0,1343075.0,142.0,137.0,156.0,-0.51009285,-0.4030606,-0.49601206,143.69412,61.658283,1138.0,293.0,5.0,173.33809,314.53406,1.0
2,0,3,0,molt,0.0,0.0,0.02,0.0,0.02,0.96,956.74817,343.67786,2093.3333,956.0099,340.1739,-1.2179921,43.77967,1.0713388,9503027.0,18920.0,0.33615223,956.5,342.5,6360.0,6.0,54.991436,14.11197,306.6164,349.84525,337.2159,51.0,35.0,47.0,94.47012,81.1217,86.919815,871.0,288.0,306.6164,323.6953,287.9138,323.6953,349.84525,313.0541,287.9138,313.0541,337.2159,6360.0,0.55918646,-0.44609466,-0.69879186,0.60095906,-0.3625332,0.7123327,0.5711031,0.8182721,-0.065360956,1043.0,398.0,956.0099,340.1739,-0.7603401,-0.6013097,-0.43209377,0.92984116,-0.36796117,-0.36796117,-0.92984116,600830.0,515934.0,552810.0,135.0,128.0,137.0,0.05720768,0.21535078,0.3589292,283.68484,386.72162,424.16818,120.79783,111.73754,122.36763,59.0,43.0,37.0,283.68484,326.8426,302.91272,326.8426,386.72162,360.3584,302.91272,360.3584,424.16818,0.34932795,0.042014364,0.6712856,2228116.0,2060999.0,2257071.0,144.0,137.0,156.0,-1.1142975,-1.0024939,-0.8783582,145.24461,94.06938,953.0,338.0,3.0,255.72287,290.86502,1.0
3,0,4,0,nymph,0.0,0.45,0.48666665,0.0,0.06333333,0.0,2113.279,430.28308,1958.0,2101.7869,402.5343,3.210115,82.095535,1.7594376,2014242.0,24240.0,0.6768977,2105.5,411.5,16408.0,4.0,50.093258,26.808676,151.6651,102.42369,95.98175,16.0,1.0,4.0,44.835873,22.800951,29.028645,2046.0,311.0,151.6651,116.52127,75.18132,116.52127,102.42369,69.0469,75.18132,69.0469,95.98175,16408.0,0.6870169,-0.44094834,-0.57755727,0.5696215,-0.16667598,0.8048295,0.45115313,0.88192046,-0.13666444,2166.0,513.0,2101.7869,402.5343,0.29636633,1.4205391,2.9180622,-0.16882993,-0.9856452,0.9856452,-0.16882993,735667.0,374118.0,476302.0,99.0,75.0,83.0,0.8393322,1.1537347,1.5103861,988.28937,1403.1362,1298.537,117.697464,105.073746,118.448746,28.0,18.0,22.0,988.28937,1163.202,1018.2058,1163.202,1403.1362,1253.2634,1018.2058,1253.2634,1298.537,-0.97557163,-1.1565602,-0.92058986,2114788.0,1887965.0,2128287.0,156.0,148.0,171.0,-0.6452768,-0.56811374,-0.48902982,202.54382,26.044518,2100.0,411.0,117.0,217.98276,3047.2085,0.0
4,0,5,0,larvae-nymph small,0.0,0.0,0.01,0.0,0.965,0.025,1233.1997,361.50598,367.6,1246.6738,359.43546,0.83824676,43.880913,0.7734464,97636.3,6741.0,0.72734016,1243.0,360.0,4903.0,5.0,27.572205,14.541144,58.18223,75.0473,174.56975,39.0,19.0,9.0,66.347336,39.320007,37.63716,1190.0,329.0,58.18223,59.10239,52.641834,59.10239,75.0473,83.48038,52.641834,83.48038,174.56975,4903.0,0.36596498,-0.65998304,-0.6561189,0.49531153,-0.45874166,0.7377144,0.7878681,0.5949609,-0.15901382,1297.0,392.0,1246.6738,359.43546,1.0525161,0.48937488,-0.013640448,0.9922783,0.12403174,0.12403174,-0.9922783,325301.0,192786.0,184535.0,101.0,74.0,85.0,0.4514827,0.68561906,0.8125097,391.4086,658.14166,907.99176,116.58214,103.429474,108.56909,50.0,33.0,25.0,391.4086,498.75412,499.501,498.75412,658.14166,685.72345,499.501,685.72345,907.99176,-0.67169356,-1.0644681,-0.97740227,1295111.0,1148998.0,1206094.0,144.0,137.0,158.0,-0.6991012,-0.51336956,-0.35105357,105.30907,15.238924,1244.0,360.0,68.0,118.325905,1036.2468,0.0
5,0,6,0,larvae-nymph small,0.0,0.0,0.0,0.0,0.63,0.37,1144.9005,381.42883,335.8,1139.0375,378.5295,-0.78389263,35.482185,0.9171225,129143.7,5016.0,0.6652711,1141.0,379.5,3337.0,5.0,22.489454,11.939069,42.473343,67.50349,174.56236,54.0,30.0,13.0,83.25232,51.82529,39.533115,1113.0,336.0,42.473343,46.03749,20.25955,46.03749,67.50349,53.350857,20.25955,53.350857,174.56236,3337.0,0.22771347,-0.62402326,-0.74749017,0.41728082,-0.63105893,0.65394294,0.87978595,0.46082494,-0.11669232,1170.0,424.0,1139.0375,378.5295,0.5684832,0.005507283,0.21156546,-0.37052315,-0.92882323,0.92882323,-0.37052315,277813.0,172941.0,131922.0,105.0,81.0,86.0,0.010133951,0.20321184,0.93349427,389.05765,767.3967,1562.0461,113.01578,96.62485,94.466896,58.0,29.0,0.0,389.05765,538.33386,677.7471,538.33386,767.3967,992.8418,677.7471,992.8418,1562.0461,-1.0608385,-1.2590002,-0.62879723,1089020.0,931077.0,910283.0,142.0,137.0,155.0,-0.40961376,-0.31495386,-0.5842705,84.85281,14.359082,1139.0,379.0,49.0,102.325905,703.59503,0.0
6,0,7,0,larvae-nymph small,0.0,0.0,0.0,0.0,0.55,0.45,743.6456,388.08337,479.75,740.9406,385.4807,-4.961568,35.55267,0.17204465,148966.92,4900.0,0.6083673,742.0,386.5,2981.0,4.0,24.874943,9.782484,53.41306,56.54888,143.56009,64.0,36.0,13.0,85.84602,60.33512,41.02147,718.0,337.0,53.41306,49.620872,33.52796,49.620872,56.54888,51.344364,33.52796,51.344364,143.56009,2981.0,0.37020963,-0.6479934,-0.6656196,0.45630595,-0.49727833,0.73790187,0.8091537,0.57690454,-0.111586,767.0,437.0,740.9406,385.4807,-0.25625798,-0.076901704,-0.33938813,-0.27098128,-0.9625846,0.9625846,-0.27098128,255907.0,179859.0,122285.0,109.0,84.0,80.0,-0.03266566,0.086241595,0.5891219,201.74982,374.28265,518.0552,119.00767,107.12799,111.98225,66.0,46.0,40.0,201.74982,267.23553,275.05673,267.23553,374.28265,397.89203,275.05673,397.89203,518.0552,-0.43825617,-0.8276397,-0.43366978,1179961.0,1062174.0,1110304.0,142.0,135.0,153.0,-0.6795376,-0.57136476,-0.61473054,99.849884,13.26242,739.0,387.0,56.0,111.84062,742.69556,0.0
7,0,8,0,larvae-nymph small,0.0,0.01,0.072,0.05,0.8146667,0.05333333,2262.927,427.26227,1363.8572,2260.2502,408.9503,0.5051832,60.06016,1.418577,4630633.0,20448.0,0.53310835,2261.5,417.5,10901.0,7.0,44.09884,20.293633,152.64278,199.99103,215.73727,32.0,11.0,11.0,58.627926,40.013027,43.510597,2190.0,347.0,152.64278,166.891,144.69884,166.891,199.99103,178.77823,144.69884,178.77823,215.73727,10901.0,0.51534635,-0.5248995,-0.6774206,0.60790807,-0.33325404,0.7206868,0.60404134,0.7832128,-0.14734942,2334.0,489.0,2260.2502,408.9503,0.2047389,-0.33339977,-0.10438495,0.76848143,0.6398721,0.6398721,-0.76848143,639103.0,436182.0,474309.0,112.0,101.0,98.0,0.7371174,0.58448875,0.7074884,750.22107,1031.912,1070.9648,118.66533,106.643135,117.00352,38.0,19.0,13.0,750.22107,869.066,812.5919,869.066,1031.912,980.36,812.5919,980.36,1070.9648,-0.9187109,-0.93082386,-0.5794154,1924633.0,1729645.0,1897680.0,158.0,150.0,171.0,-0.5425425,-0.5089363,-0.40746236,161.40013,17.601841,2264.0,410.0,122.0,215.96552,2155.0815,1.0
8,0,9,0,molt,0.0,0.0,0.0,0.0,0.01,0.99,959.2674,366.21613,68.25,961.52905,363.9847,0.55178165,11.687577,-1.0980675,490.91666,600.0,0.545,960.5,365.0,327.0,4.0,5.7636,5.2798615,165.12157,211.0795,21.647747,60.0,43.0,82.0,98.02752,84.66361,92.44648,949.0,353.0,165.12157,183.22945,5.951014,183.22945,211.0795,6.376493,5.951014,6.376493,21.647747,327.0,0.6614595,-0.0062885955,-0.7499545,0.7495704,-0.027534066,0.6613517,0.024808269,0.99960107,0.013498925,973.0,378.0,961.52905,363.9847,-0.19460236,-0.40058383,0.21439454,0.9617247,-0.2740175,-0.2740175,-0.9617247,32055.0,27685.0,30230.0,131.0,118.0,109.0,-0.3198119,-0.26412824,0.32412195,487.62454,600.29755,565.8939,108.50377,97.75426,106.8369,53.0,39.0,48.0,487.62454,536.1765,467.22446,536.1765,600.29755,523.037,467.22446,523.037,565.8939,-1.099784,-1.1416597,-0.7246457,547510.0,493268.0,539099.0,143.0,136.0,150.0,-0.42651558,-0.31940734,-0.44239664,13.928389,5.9583282,963.0,363.0,21.0,32.384777,125.12489,0.0
9,0,10,0,nymph,0.01,0.07,0.72,0.0,0.17,0.03,1727.8145,494.35376,5780.4,1739.1613,496.29916,-1.6196876,115.18548,0.39054403,34525016.0,70356.0,0.5892035,1734.5,495.5,41454.0,5.0,78.18217,45.92998,207.67444,229.2972,145.2243,21.0,3.0,0.0,57.23363,29.285593,21.846167,1592.0,373.0,207.67444,198.13217,88.92244,198.13217,229.2972,122.31556,88.92244,122.31556,145.2243,41454.0,0.6158255,-0.4673867,-0.63427806,0.6752295,-0.101741925,0.73055714,0.40598536,0.87817895,-0.252938,1878.0,619.0,1739.1613,496.29916,0.950576,2.240172,2.8015165,0.7931548,-0.6090201,-0.6090201,-0.7931548,2372563.0,1214005.0,905611.0,117.0,96.0,82.0,0.99493486,1.4957151,1.5971403,558.0047,830.7863,1344.6758,119.22896,106.22036,107.67653,36.0,23.0,0.0,558.0047,670.41125,723.52,670.41125,830.7863,930.55426,723.52,930.55426,1344.6758,-0.13711105,-0.7922245,-0.36423546,3760362.0,3350084.0,3396010.0,154.0,146.0,167.0,-0.79688007,-0.5848613,-0.6300453,289.01385,111.50357,1735.0,494.0,2.0,378.38687,223.00714,0.0
