object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of molt,Probability of juvenile,Probability of adult,Number of Holes,Euclidean Diameter,Average Branch Length,Diameter,Number of Branches,Length of the Skeleton,Center of the Skeleton_0,Center of the Skeleton_1,Center of the object_0,Center of the object_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Kurtosis of Intensity_0,Kurtosis of Intensity_1,Kurtosis of Intensity_2,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Total Intensity_0,Total Intensity_1,Total Intensity_2,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Radii of the object_0,Radii of the object_1,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Size in pixels,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Covariance of Channel Intensity in neighborhood_4,Covariance of Channel Intensity in neighborhood_5,Covariance of Channel Intensity in neighborhood_6,Covariance of Channel Intensity in neighborhood_7,Covariance of Channel Intensity in neighborhood_8,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_2,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Skewness of Intensity in neighborhood_2,Object Area,Defect Center_0,Defect Center_1,Convexity,Mean Defect Displacement,Kurtosis of Defect Area,Convex Hull Area,Skewness of Defect Area,Number of Defects,Object Center_0,Object Center_1,Variance of Defect Area,Convex Hull Center_0,Convex Hull Center_1,Mean Defect Area
0,0,1,0,adult,0.26,0.25,0.49,0.0,270.06665,22.916887,329.07822,205.0,4697.962,431.0,222.0,448.96667,230.15631,136.39146,150.90617,97.27314,150.90617,185.67792,123.36954,97.27314,123.36954,146.12209,5.838888,3.6126547,0.98367834,96.0,75.0,77.0,6083185.0,5342819.0,4452703.0,136.39146,185.67792,146.12209,573.0,348.0,292.0,132.0,215.0,210.0,203.0,161.74382,142.05847,118.391464,0.9415511,0.33687016,0.33687016,-0.9415511,66.82776,46.704273,-1.5399492,-1.0818107,0.5004831,37610.0,0.5497672,-0.4158384,-0.7244546,0.65829957,-0.31818444,0.6822026,0.5141962,0.8519607,-0.09881886,949.0146,1175.0856,964.43317,1175.0856,1480.0043,1219.6884,964.43317,1219.6884,1335.2592,-0.6832588,-0.8381982,-0.9472901,949.0146,1480.0043,1335.2592,5666804.0,5448184.0,5205724.0,105.0,79.0,93.0,255.0,255.0,255.0,207.8417,199.82336,190.93065,-0.25615543,-0.22332796,0.037698172,37610.0,404.35913,254.72205,0.6196454,124.852234,3.1592758,60696.0,1.4693197,5.0,448.96667,230.15631,19785644.0,432.0,239.5,4617.2
1,0,2,0,adult,0.0,0.15,0.85,3.0,319.70767,21.899586,381.3919,212.0,4863.9204,1986.0,884.0,1991.3368,880.03125,595.1784,610.0653,393.5883,610.0653,653.0575,424.2052,393.5883,424.2052,360.84573,-0.068140216,-0.15347408,0.7111205,55.0,42.0,39.0,5901361.0,5148778.0,4373939.0,595.1784,653.0575,360.84573,2090.0,1055.0,1886.0,730.0,229.0,237.0,226.0,126.15946,110.07072,93.50619,0.07244009,-0.99737275,0.99737275,0.07244009,77.504555,49.188282,-0.1949676,-0.074648626,0.22068633,46777.0,0.6161063,-0.39046416,-0.68406934,0.6494217,-0.23963438,0.7216833,0.445718,0.88888305,-0.10593566,1389.7738,1668.0277,1526.9471,1668.0277,2040.1711,1896.698,1526.9471,1896.698,2078.3618,-0.05491179,-0.5168657,-1.1109179,1389.7738,2040.1711,2078.3618,5908896.0,5717105.0,5358530.0,74.0,60.0,64.0,255.0,255.0,255.0,203.93083,197.31165,184.93633,-0.66786766,-0.517863,-0.003209283,46777.0,1978.3071,920.677,0.7055355,140.1408,1.5023316,66300.0,1.4551648,10.0,1991.3368,880.03125,8506262.0,1987.5,892.0,1952.3
2,0,3,0,juvenile,0.0,0.97,0.03,1.0,224.2231,48.116608,279.70563,27.0,1397.5038,1271.0,1041.0,1271.1385,1043.3625,685.2857,698.55206,374.35013,698.55206,745.05194,412.57562,374.35013,412.57562,338.35037,-1.0829118,-1.2041762,-0.98788494,72.0,58.0,45.0,3556566.0,2991002.0,2336711.0,685.2857,745.05194,338.35037,1362.0,1162.0,1191.0,934.0,195.0,179.0,170.0,146.64438,123.325035,96.3473,-0.461754,-0.887008,0.887008,-0.461754,55.896053,35.91422,-0.36856332,-0.28520444,-0.08025123,24253.0,0.63423795,-0.37986305,-0.6733842,0.66717607,-0.17119168,0.7249617,0.39066395,0.90906405,-0.14485928,1716.9341,2085.4963,1740.7493,2085.4963,2586.819,2208.5522,1740.7493,2208.5522,2415.511,-1.0150341,-1.204858,-1.2558416,1716.9341,2586.819,2415.511,4580737.0,4331278.0,4072975.0,96.0,74.0,62.0,255.0,255.0,255.0,202.29362,191.27707,179.86995,-0.284261,-0.16598746,0.15301254,24253.0,1284.0017,1054.31,0.6220632,97.435486,1.359143,38988.0,1.3617988,8.0,1271.1385,1043.3625,6055629.5,1276.0,1047.5,1841.875
3,0,4,0,juvenile,0.01,0.94,0.05,1.0,209.6688,84.24096,272.1787,9.0,770.2397,1806.0,1043.0,1809.4238,1049.0908,248.2753,285.0697,215.46779,285.0697,355.76962,273.9934,215.46779,273.9934,269.24893,0.8299468,0.17192243,-0.2485438,100.0,64.0,53.0,3305790.0,2896580.0,2322303.0,248.2753,355.76962,269.24893,1885.0,1153.0,1732.0,935.0,204.0,187.0,162.0,160.05568,140.24306,112.438416,0.30150443,-0.9534648,0.9534648,0.30150443,55.737434,30.994568,-0.7366625,-0.5369256,-0.28949323,20654.0,0.5331896,-0.49437702,-0.68651307,0.65257066,-0.2760817,0.70564187,0.5383868,0.8242392,-0.17541203,1530.5822,1819.0707,1565.5028,1819.0707,2205.5842,1926.712,1565.5028,1926.712,2077.5208,-0.8115192,-0.8855701,-0.8817722,1530.5822,2205.5842,2077.5208,4271935.0,4032630.0,3732259.0,81.0,62.0,64.0,255.0,255.0,255.0,193.26524,182.43892,168.84993,-0.16589302,-0.038669042,0.47543776,20654.0,1805.6843,1034.4076,0.61923605,86.91078,-1.0761913,33354.0,0.25763297,5.0,1809.4238,1049.0908,4777209.5,1808.0,1043.5,2540.0
4,0,5,0,molt,0.92,0.08,0.0,0.0,39.446167,6.231707,51.455845,26.0,162.02438,1864.0,1016.0,1865.3755,1014.684,51.780853,59.00913,33.367016,59.00913,84.811615,37.87049,33.367016,37.87049,42.950115,-0.25871825,-0.11217847,-0.4663472,148.0,132.0,118.0,91033.0,84670.0,73001.0,51.780853,84.811615,42.950115,1887.0,1028.0,1847.0,999.0,183.0,175.0,153.0,169.20631,157.37918,135.68959,0.92441696,0.38138345,0.38138345,-0.92441696,10.643547,4.649631,-0.48338267,-0.5702117,0.13507433,538.0,0.55763644,-0.056209546,-0.82817996,0.7176136,-0.46882492,0.51500875,0.41721982,0.88150084,0.22109713,531.4012,611.6956,305.20352,611.6956,737.807,371.548,305.20352,371.548,327.73566,0.059693415,-0.012053446,1.1680319,531.4012,737.807,327.73566,959936.0,873813.0,755918.0,104.0,84.0,84.0,233.0,230.0,199.0,161.6054,147.10657,127.25892,0.15743983,0.14467175,0.6990193,538.0,1867.4727,1011.5434,0.4637931,13.752133,-0.25369155,1160.0,0.90792537,4.0,1865.3755,1014.684,22749.666,1866.5,1013.0,155.5
5,0,6,0,juvenile,0.31,0.65,0.04,0.0,98.23441,11.445945,106.91169,59.0,675.3107,869.0,1325.0,869.69257,1321.5735,1139.318,1074.0767,147.53038,1074.0767,1047.8997,140.53743,147.53038,140.53743,103.819084,-1.0485917,-1.1519303,-0.39097863,58.0,51.0,81.0,417468.0,369702.0,350437.0,1139.318,1047.8997,103.819084,897.0,1372.0,846.0,1278.0,189.0,175.0,139.0,130.174,115.2797,109.27253,-0.3136191,-0.94954884,0.94954884,-0.3136191,23.51074,11.131528,-0.47657663,-0.33852693,0.17421676,3207.0,0.71857804,-0.06377397,-0.6925161,0.6886101,-0.074032776,0.72134274,0.09727178,0.9952146,0.009282929,1175.2836,1267.189,837.2191,1267.189,1402.3816,962.10675,837.2191,962.10675,1026.1666,0.6979668,0.5210298,1.157512,1175.2836,1402.3816,1026.1666,1799950.0,1659263.0,1450244.0,68.0,58.0,79.0,255.0,255.0,255.0,183.81842,169.45088,148.10498,-0.5445645,-0.27446353,0.8398575,3207.0,873.6421,1330.414,0.6689612,35.852814,-0.5889852,4794.0,1.076146,5.0,869.69257,1321.5735,142727.3,871.0,1324.5,317.4
6,0,7,0,juvenile,0.0,0.94,0.06,1.0,214.96512,49.688198,263.80612,15.0,761.5656,771.0,1392.0,783.65436,1393.0658,658.3261,660.8992,250.1588,660.8992,704.06726,298.59692,250.1588,298.59692,379.43286,-0.554266,-0.15847485,4.8550944,74.0,55.0,58.0,2308612.0,2010608.0,1800649.0,658.3261,704.06726,379.43286,854.0,1486.0,694.0,1294.0,254.0,255.0,233.0,139.53532,121.523605,108.83343,-0.59494007,-0.80377007,0.80377007,-0.59494007,55.000866,25.874186,-0.35744628,-0.14520803,1.2193177,16545.0,0.6505579,-0.31270579,-0.6920907,0.6825031,-0.15898815,0.7133809,0.33311254,0.9364496,-0.10999169,1864.969,2060.0735,1728.6862,2060.0735,2326.3733,2003.1238,1728.6862,2003.1238,2303.6062,0.29355726,-0.24946515,-1.018992,1864.969,2326.3733,2303.6062,3907027.0,3716599.0,3503051.0,58.0,53.0,81.0,255.0,255.0,255.0,196.97641,187.3758,176.60957,-0.59280217,-0.3116775,0.38487795,16545.0,761.6479,1385.338,0.5385742,73.29972,0.1655868,30720.0,1.2049434,5.0,783.65436,1393.0658,14008282.0,773.5,1389.5,2835.0
7,0,8,0,adult,0.0,0.32,0.68,0.0,280.82913,30.90866,323.96045,183.0,5656.285,1420.0,1530.0,1407.8179,1522.2166,380.311,396.2479,262.46442,396.2479,445.17642,296.22607,262.46442,296.22607,286.10715,4.974309,8.2739,10.679044,70.0,51.0,48.0,5323332.0,4539534.0,3825134.0,380.311,445.17642,286.10715,1552.0,1627.0,1286.0,1405.0,251.0,255.0,235.0,132.80441,113.25053,95.42795,0.84143287,0.5403617,0.5403617,-0.84143287,69.43924,47.135387,1.1633474,1.5328571,2.0639467,40084.0,0.5943123,-0.4027979,-0.6960939,0.6502977,-0.26856998,0.7106216,0.47318682,0.8749994,-0.102324136,1503.0326,1786.922,1459.448,1786.922,2170.032,1813.3099,1459.448,1813.3099,1997.7064,0.2950062,-0.2954973,-1.2387232,1503.0326,2170.032,1997.7064,5423131.0,5216311.0,4893792.0,84.0,70.0,72.0,255.0,255.0,255.0,206.97394,199.08064,186.7717,-0.7630407,-0.53687775,0.154383,40084.0,1441.0739,1501.3062,0.6787916,116.47369,0.58299154,59052.0,1.0626628,4.0,1407.8179,1522.2166,20336416.0,1418.5,1515.5,4742.0
8,0,9,0,juvenile,0.26,0.73,0.01,2.0,190.52034,72.830215,242.69344,12.0,880.6194,228.0,1762.0,222.7287,1749.4276,163.19258,167.22801,98.30867,167.22801,205.82626,145.9941,98.30867,145.9941,197.40004,2.575758,1.7170193,3.6187603,102.0,74.0,84.0,3166529.0,2643113.0,2186663.0,163.19258,205.82626,197.40004,297.0,1861.0,149.0,1658.0,217.0,199.0,199.0,169.41464,141.411,116.99016,-0.19860107,-0.9800804,0.9800804,-0.19860107,47.682896,33.61191,-0.7720348,-0.15035619,1.4163139,18691.0,0.53306913,-0.54097325,-0.6505269,0.64689827,-0.23495138,0.7254795,0.5453072,0.80755544,-0.22470933,1585.9788,1929.0135,1513.9423,1929.0135,2392.337,1921.4495,1513.9423,1921.4495,2005.6072,-0.89743924,-1.1440716,-1.2842638,1585.9788,2392.337,2005.6072,4428421.0,4165678.0,4127476.0,98.0,68.0,85.0,255.0,255.0,255.0,207.9852,195.64522,193.85103,-0.39048892,-0.22027986,-0.019017572,18691.0,222.12349,1774.7595,0.6221209,86.392715,-0.6731989,30044.0,0.7686169,7.0,222.7287,1749.4276,3366507.5,222.5,1759.0,1621.8572
9,0,10,0,juvenile,0.21,0.75,0.04,0.0,111.82576,13.586949,193.40916,98.0,1331.521,1776.0,1822.0,1778.7028,1822.0536,251.48224,273.43805,194.56494,273.43805,319.76578,237.54068,194.56494,237.54068,260.56378,0.14421697,-0.07824799,0.09760413,125.0,96.0,84.0,1325772.0,1116124.0,864653.0,251.48224,319.76578,260.56378,1830.0,1899.0,1730.0,1750.0,218.0,198.0,172.0,179.23103,150.88873,116.89239,0.47220618,-0.88148814,0.88148814,0.47220618,40.602108,15.203698,-0.19398443,0.21069276,0.8697589,7397.0,0.5554543,-0.4642726,-0.6898706,0.6413615,-0.2888505,0.7107889,0.5292693,0.8372672,-0.1373233,669.15875,888.3281,1012.0608,888.3281,1210.0162,1408.4625,1012.0608,1408.4625,1917.9487,-0.7686441,-0.9974081,-1.1751022,669.15875,1210.0162,1917.9487,3324157.0,3166111.0,2969283.0,139.0,114.0,96.0,255.0,255.0,255.0,226.68828,215.91046,202.48793,-0.5194945,-0.4119382,-0.32144713,7397.0,1780.286,1825.919,0.49644294,47.5702,-3.321777,14900.0,0.6012344,5.0,1778.7028,1822.0536,3644206.8,1779.5,1824.0,1500.6
