object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of molt,Probability of juvenile,Probability of adult,Number of Holes,Euclidean Diameter,Average Branch Length,Diameter,Number of Branches,Length of the Skeleton,Center of the Skeleton_0,Center of the Skeleton_1,Center of the object_0,Center of the object_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Kurtosis of Intensity_0,Kurtosis of Intensity_1,Kurtosis of Intensity_2,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Total Intensity_0,Total Intensity_1,Total Intensity_2,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Radii of the object_0,Radii of the object_1,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Size in pixels,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Covariance of Channel Intensity in neighborhood_4,Covariance of Channel Intensity in neighborhood_5,Covariance of Channel Intensity in neighborhood_6,Covariance of Channel Intensity in neighborhood_7,Covariance of Channel Intensity in neighborhood_8,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_2,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Skewness of Intensity in neighborhood_2,Object Area,Defect Center_0,Defect Center_1,Convexity,Mean Defect Displacement,Kurtosis of Defect Area,Convex Hull Area,Skewness of Defect Area,Number of Defects,Object Center_0,Object Center_1,Variance of Defect Area,Convex Hull Center_0,Convex Hull Center_1,Mean Defect Area
0,0,1,0,molt,0.59,0.37,0.04,0.0,61.073727,16.262405,125.781746,30.0,487.87216,216.0,6.0,218.04677,23.881142,131.163,149.69511,115.56319,149.69511,196.33559,180.0083,115.56319,180.0083,281.3554,2.2374735,-0.33961958,-0.5259719,101.0,74.0,68.0,908603.0,735915.0,618728.0,131.163,196.33559,281.3554,292.0,62.0,155.0,0.0,183.0,162.0,159.0,153.4025,124.247,104.46193,0.9975302,-0.07023838,-0.07023838,-0.9975302,32.97916,15.725556,-0.7358233,0.02747367,0.45924437,5923.0,0.43693668,-0.58108944,-0.68660134,0.5916099,-0.38933107,0.705988,0.6775574,0.7146722,-0.17366526,704.209,929.7791,929.49194,929.7791,1249.1068,1254.0763,929.49194,1254.0763,1369.2677,-0.94106555,-1.3097465,-1.0430195,704.209,1249.1068,1369.2677,1588039.0,1531354.0,1529347.0,111.0,93.0,106.0,255.0,255.0,255.0,211.56927,204.01732,203.74994,-0.3284272,-0.2594272,-0.40243503,5923.0,234.41112,45.74835,0.69731575,54.478973,0.0,8494.0,0.0,2.0,218.04677,23.881142,353640.5,223.0,30.5,1285.5
1,0,2,0,juvenile,0.0,0.96,0.04,0.0,219.31712,25.253479,265.0366,138.0,3484.9802,779.0,138.0,782.247,142.33298,457.05978,479.2636,297.20682,479.2636,530.1243,330.63354,297.20682,330.63354,279.55377,-0.55437034,-0.60941297,-0.04576948,75.0,55.0,48.0,3422880.0,2864381.0,2437033.0,457.05978,530.1243,279.55377,874.0,249.0,706.0,24.0,190.0,174.0,157.0,129.01923,107.96762,91.85952,0.4182954,-0.90831107,0.90831107,0.4182954,56.50254,38.106953,0.3669499,0.4062327,0.6234531,26530.0,0.60907847,-0.38323575,-0.69437295,0.6609602,-0.23862398,0.7114705,0.43835497,0.8922942,-0.10796284,1235.7524,1556.5297,1308.1667,1556.5297,1994.3744,1685.9156,1308.1667,1685.9156,1768.6671,-0.70486605,-0.8896676,-1.032858,1235.7524,1994.3744,1768.6671,4337653.0,4173208.0,4009457.0,100.0,74.0,75.0,255.0,255.0,255.0,202.27817,194.60959,186.97337,-0.5693799,-0.4914083,-0.10797358,26530.0,806.57385,121.09193,0.70185184,100.74851,2.4771175,37800.0,1.519258,5.0,782.247,142.33298,5775167.5,789.5,136.0,2254.0
2,0,3,0,juvenile,0.07,0.82,0.11,0.0,245.08162,21.153025,301.91882,168.0,3553.708,940.0,718.0,937.78406,714.56146,248.16234,262.65234,159.8008,262.65234,304.46918,190.68933,159.8008,190.68933,189.09866,0.23242064,0.0069585517,0.54188484,88.0,64.0,62.0,3681628.0,3223762.0,2714002.0,248.16234,304.46918,189.09866,1067.0,797.0,830.0,625.0,202.0,188.0,182.0,145.50163,127.40632,107.260086,0.87662125,0.48118103,0.48118103,-0.87662125,63.850685,32.422283,0.05733499,-0.03041422,0.40280864,25303.0,0.58899903,-0.41783413,-0.6917332,0.6644971,-0.23673148,0.7088031,0.45991716,0.87713903,-0.13821496,1221.4335,1506.4971,1292.3683,1506.4971,1901.1228,1627.5936,1292.3683,1627.5936,1772.5057,-1.0908188,-1.1898013,-1.1965655,1221.4335,1901.1228,1772.5057,4736482.0,4544059.0,4272775.0,104.0,81.0,87.0,255.0,255.0,255.0,206.17603,197.79999,185.99117,-0.12139018,-0.07320724,0.19018729,25303.0,964.7191,703.85315,0.62071925,90.37144,-2.1832147,40764.0,0.6850236,4.0,937.78406,714.56146,17655322.0,948.0,710.5,3865.25
3,0,4,0,molt,0.83,0.17,0.0,0.0,32.202484,6.1018863,49.870056,28.0,170.85281,815.0,669.0,816.4813,671.9552,48.343002,50.364353,45.74239,50.364353,63.06145,56.695904,45.74239,56.695904,102.67074,-0.35826325,-0.15214533,0.35589293,175.0,157.0,129.0,103573.0,94815.0,79770.0,48.343002,63.06145,102.67074,835.0,693.0,804.0,656.0,211.0,199.0,183.0,193.23322,176.89366,148.82463,-0.5816059,-0.8134707,0.8134707,-0.5816059,9.996579,5.257796,-0.13350381,0.023087742,0.71005213,536.0,0.46100008,-0.5048815,-0.7297764,0.5485418,-0.484311,0.6815752,0.69755346,0.7145191,-0.05368121,1354.3918,1643.7366,1903.6804,1643.7366,2015.3491,2326.8547,1903.6804,2326.8547,2842.9507,-1.4939289,-1.565718,-1.5784832,1354.3918,2015.3491,2842.9507,1226771.0,1184889.0,1116427.0,138.0,125.0,101.0,255.0,255.0,255.0,208.98994,201.85503,190.19199,-0.016173098,0.0014118572,-0.044245716,536.0,821.2095,675.79376,0.46730602,14.4739065,1.982165,1147.0,1.4249607,4.0,816.4813,671.9552,22944.916,819.0,674.0,152.75
4,0,5,0,juvenile,0.0,0.76,0.24,0.0,245.54633,22.230764,295.35028,190.0,4223.845,1042.0,1079.0,1054.6421,1077.7755,404.82196,415.01346,259.34268,415.01346,456.683,290.07397,259.34268,290.07397,246.4426,0.18673377,0.15708824,0.91579103,74.0,53.0,45.0,4411961.0,3677355.0,2893260.0,404.82196,456.683,246.4426,1174.0,1167.0,913.0,1001.0,212.0,191.0,169.0,143.41312,119.534355,94.046936,0.97880346,0.20480181,0.20480181,-0.97880346,64.78302,39.05655,0.07168794,0.11107185,0.44072855,30764.0,0.6114464,-0.44261146,-0.655918,0.65689015,-0.17822628,0.7326191,0.4411674,0.87882334,-0.1817713,1251.108,1565.6667,1450.9293,1565.6667,2001.1183,1867.8259,1450.9293,1867.8259,2095.252,-0.7925171,-1.0258373,-1.2227743,1251.108,2001.1183,2095.252,5229247.0,5027721.0,4746687.0,102.0,77.0,84.0,255.0,255.0,255.0,216.9362,208.57585,196.91711,-0.60194415,-0.51643395,-0.22985314,30764.0,1014.48895,1097.519,0.7100586,111.93322,3.3919969,43326.0,1.6007087,5.0,1054.6421,1077.7755,6469438.5,1043.0,1083.5,2512.4
5,0,6,0,molt,0.65,0.34,0.01,0.0,105.773346,14.059524,116.669044,62.0,871.6905,2293.0,1167.0,2296.0474,1166.2856,109.3298,123.62107,91.00564,123.62107,156.41023,120.09645,91.00564,120.09645,139.21182,-0.16348778,-0.06679146,0.006988541,128.0,100.0,70.0,637691.0,541603.0,410122.0,109.3298,156.41023,139.21182,2329.0,1220.0,2267.0,1117.0,197.0,183.0,144.0,164.9912,140.13014,106.11177,-0.36105862,-0.9325431,0.9325431,-0.36105862,24.386738,13.200897,0.5844358,0.56561947,0.19543156,3865.0,0.5194712,-0.48501554,-0.70349807,0.6437987,-0.3191848,0.6954454,0.56184775,0.814175,-0.14644504,1052.6213,1360.7765,1290.7703,1360.7765,1808.9755,1778.2925,1290.7703,1778.2925,2070.414,-1.0045819,-1.125422,-1.1145821,1052.6213,1808.9755,2070.414,2144574.0,2064628.0,1944603.0,97.0,75.0,70.0,251.0,255.0,255.0,203.79872,196.20146,184.7955,-0.427146,-0.3462461,-0.15150201,3865.0,2299.727,1170.6283,0.6052302,40.062683,-1.6572114,6386.0,0.6843563,5.0,2296.0474,1166.2856,244733.7,2297.5,1168.0,504.2
6,0,7,0,juvenile,0.21,0.77,0.02,0.0,98.85848,15.611301,120.63961,77.0,1202.0702,2183.0,1169.0,2184.124,1168.2618,290.18863,326.4188,240.10153,326.4188,394.03714,308.9956,240.10153,308.9956,332.45282,0.06607052,-0.06229524,1.0723543,97.0,74.0,48.0,846159.0,678497.0,506543.0,290.18863,394.03714,332.45282,2232.0,1208.0,2130.0,1130.0,198.0,190.0,178.0,141.28552,113.290535,84.578896,0.9511671,0.3086765,0.3086765,-0.9511671,26.445953,18.344685,0.44431427,0.72364247,1.0773327,5989.0,0.53468925,-0.5128339,-0.67164636,0.6430116,-0.26879996,0.717135,0.5483097,0.8153208,-0.18603371,807.87195,1033.2351,1005.9372,1033.2351,1372.1907,1387.703,1005.9372,1387.703,1672.043,-0.8171938,-1.0535377,-1.0706838,807.87195,1372.1907,1672.043,2360251.0,2255236.0,2091676.0,117.0,93.0,77.0,251.0,255.0,255.0,203.08475,194.04887,179.97557,-0.4039941,-0.24833904,-0.055346474,5989.0,2169.4656,1169.2252,0.75276524,46.261955,0.033112995,7956.0,0.7829431,5.0,2184.124,1168.2618,139705.3,2180.5,1168.5,393.4
7,0,8,0,adult,0.0,0.3,0.7,1.0,262.97528,26.37832,306.2914,193.0,5096.43,2210.0,1518.0,2203.3813,1524.0966,452.91348,462.4724,283.8681,462.4724,522.9891,344.70703,283.8681,344.70703,327.18192,0.42013392,-0.10122032,0.65634805,55.0,39.0,39.0,5077732.0,4254148.0,3646170.0,452.91348,522.9891,327.18192,2309.0,1644.0,2087.0,1382.0,193.0,193.0,204.0,121.18981,101.5334,87.02284,-0.44955903,-0.89325064,0.89325064,-0.44955903,64.811134,52.397755,0.05404409,0.26204067,0.39989197,41899.0,0.595339,-0.5118727,-0.61932045,0.6574882,-0.13268095,0.74169064,0.46182323,0.8487533,-0.25756016,1962.3958,2306.5747,1911.8772,2306.5747,2768.5222,2352.8982,1911.8772,2352.8982,2421.1736,-0.026496377,-0.44107696,-1.1468301,1962.3958,2768.5222,2421.1736,5379573.0,5312782.0,5194893.0,77.0,64.0,68.0,255.0,255.0,255.0,204.4066,201.86876,197.38936,-0.97237754,-0.83647996,-0.4037818,41899.0,2182.3494,1482.6271,0.7203597,127.12528,3.3844497,58164.0,1.7412745,8.0,2203.3813,1524.0966,8081810.0,2197.5,1512.5,2033.125
8,0,9,0,adult,0.0,0.36,0.64,3.0,305.41284,95.7379,379.7767,11.0,1084.259,903.0,1620.0,926.43317,1609.6343,526.1833,566.58105,330.34753,566.58105,645.3353,383.34113,330.34753,383.34113,354.36002,-0.19396019,-0.24538924,1.8325305,60.0,51.0,53.0,5190606.0,4538868.0,4076152.0,526.1833,645.3353,354.36002,1052.0,1741.0,818.0,1462.0,247.0,255.0,229.0,128.85352,112.67453,101.1879,0.5561532,-0.8310798,0.8310798,0.5561532,74.091774,44.572987,-0.16875301,-0.07643222,0.51249874,40283.0,0.59975535,-0.367366,-0.7108697,0.67129743,-0.25249562,0.6968542,0.435492,0.895147,-0.09517625,1949.4048,2254.6304,1784.0514,2254.6304,2659.5713,2129.132,1784.0514,2129.132,2148.7322,-0.20731118,-0.55658823,-1.195636,1949.4048,2659.5713,2148.7322,5813502.0,5657402.0,5519705.0,75.0,60.0,64.0,255.0,255.0,255.0,207.43985,201.86983,196.95647,-0.79922676,-0.6884243,-0.23167047,40283.0,947.49664,1587.089,0.6170236,113.58773,1.1765867,65286.0,1.4944996,7.0,926.43317,1609.6343,29892636.0,934.5,1601.0,3571.8572
9,0,10,0,adult,0.0,0.06,0.94,0.0,246.51978,27.953999,367.87216,238.0,6653.052,1477.0,1625.0,1475.3947,1629.9933,889.09076,816.82526,480.4352,816.82526,784.7249,466.97943,480.4352,466.97943,372.34335,0.264765,0.733456,2.2750726,39.0,33.0,33.0,6164709.0,5410106.0,4872401.0,889.09076,784.7249,372.34335,1601.0,1779.0,1330.0,1475.0,237.0,240.0,203.0,102.85486,90.26472,81.293396,-0.46127462,-0.8872574,0.8872574,-0.46127462,75.29554,64.87267,0.6916206,0.7967324,1.1302265,59936.0,0.66906583,-0.38900554,-0.63326585,0.6310061,-0.15284896,0.7605712,0.39266044,0.90846676,-0.14319886,2631.9377,2909.2131,1908.5266,2909.2131,3302.4883,2242.128,1908.5266,2242.128,2070.7896,-0.18775798,-0.53506917,-1.0916051,2631.9377,3302.4883,2070.7896,6366947.0,6300773.0,6274049.0,62.0,55.0,75.0,255.0,255.0,255.0,201.82417,199.72653,198.87943,-0.98770493,-0.8536327,-0.3608434,59936.0,1437.2465,1617.1729,0.7275199,148.11325,0.51788646,82384.0,0.61092836,4.0,1475.3947,1629.9933,12489120.0,1465.0,1626.5,5612.0
