object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of molt,Probability of juvenile,Probability of adult,Number of Holes,Euclidean Diameter,Average Branch Length,Diameter,Number of Branches,Length of the Skeleton,Center of the Skeleton_0,Center of the Skeleton_1,Center of the object_0,Center of the object_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Kurtosis of Intensity_0,Kurtosis of Intensity_1,Kurtosis of Intensity_2,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Total Intensity_0,Total Intensity_1,Total Intensity_2,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Radii of the object_0,Radii of the object_1,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Size in pixels,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Covariance of Channel Intensity in neighborhood_4,Covariance of Channel Intensity in neighborhood_5,Covariance of Channel Intensity in neighborhood_6,Covariance of Channel Intensity in neighborhood_7,Covariance of Channel Intensity in neighborhood_8,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_2,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Skewness of Intensity in neighborhood_2,Object Area,Defect Center_0,Defect Center_1,Convexity,Mean Defect Displacement,Kurtosis of Defect Area,Convex Hull Area,Skewness of Defect Area,Number of Defects,Object Center_0,Object Center_1,Variance of Defect Area,Convex Hull Center_0,Convex Hull Center_1,Mean Defect Area
0,0,1,juvenile,juvenile,0.0,0.68,0.32,0.0,287.93924,45.890446,325.9777,158.0,7250.6904,1100.0,189.0,1107.8223,192.71696,672.7454,689.2367,505.89087,689.2367,735.52045,558.00287,505.89087,558.00287,547.51013,0.78519255,1.7718998,4.4492326,62.0,48.0,29.0,5370379.0,4467037.0,3443571.0,672.7454,735.52045,547.51013,1245.0,299.0,957.0,98.0,229.0,223.0,206.0,126.50771,105.22807,81.11873,0.9370915,0.3490838,0.3490838,-0.9370915,72.26822,47.185474,0.71395034,1.0563956,1.8399851,42451.0,0.5923108,-0.47039723,-0.65413636,0.62781787,-0.23939475,0.7406314,0.5049878,0.84936243,-0.15352772,1276.5256,1538.0605,1318.1506,1538.0605,1894.5334,1645.7197,1318.1506,1645.7197,1638.8281,0.267138,0.023429528,-0.42070362,1276.5256,1894.5334,1638.8281,5264981.0,5090583.0,4779702.0,91.0,68.0,53.0,246.0,247.0,243.0,204.18774,197.4242,185.36754,-1.2221144,-1.1480839,-0.8033236,42451.0,1080.3643,212.52808,0.7333299,129.34933,1.1051134,57888.0,1.3215772,4.0,1107.8223,192.71696,8960388.0,1100.5,198.0,3859.25
1,0,2,adult,adult,0.0,0.09,0.91,0.0,291.39835,52.818634,394.52185,204.0,10775.001,2133.0,306.0,2128.6604,298.30313,882.33093,815.2586,606.7687,815.2586,783.4019,597.41016,606.7687,597.41016,535.29364,2.0134954,4.33555,8.516575,45.0,36.0,25.0,7381844.0,6278156.0,5034040.0,882.33093,783.4019,535.29364,2316.0,438.0,1968.0,142.0,228.0,227.0,221.0,98.32757,83.626236,67.054375,0.941743,0.3363334,0.3363334,-0.941743,87.10259,69.45955,1.45248,1.8957552,2.6061819,75074.0,0.63757235,-0.5115388,-0.5760465,0.6060445,-0.12859352,0.7849674,0.4756171,0.8495833,-0.22802757,753.5236,888.3085,862.2656,888.3085,1081.7534,1091.4592,862.2656,1091.4592,1329.7561,4.2345223,2.9557862,1.3981961,753.5236,1081.7534,1329.7561,6772603.0,6611966.0,6147489.0,70.0,58.0,45.0,239.0,241.0,240.0,206.9993,202.08955,187.89317,-2.0636601,-1.8355972,-1.4475561,75074.0,2176.007,265.84116,0.72881716,170.78107,3.8806682,103008.0,1.9659097,4.0,2128.6604,298.30313,18473526.0,2141.5,289.5,6983.5
2,0,3,adult,adult,0.0,0.03,0.97,0.0,329.9606,27.469913,377.46298,225.0,6180.731,1584.0,494.0,1590.7609,511.17053,533.7206,504.7886,319.91605,504.7886,510.59155,345.5126,319.91605,345.5126,325.85663,0.39267942,0.69131047,3.1063178,51.0,39.0,9.0,6986719.0,5584930.0,4026030.0,533.7206,510.59155,325.85663,1719.0,667.0,1489.0,339.0,218.0,212.0,190.0,130.62218,104.414635,75.26978,0.21555711,-0.9764912,0.9764912,0.21555711,79.44086,56.227512,-0.39981923,0.06935852,0.99595183,53488.0,0.6332144,-0.49220407,-0.5973062,0.63069916,-0.11917723,0.7668216,0.448618,0.862283,-0.23496795,882.5667,1085.6085,1118.302,1085.6085,1371.623,1446.3103,1118.302,1446.3103,1677.4039,1.138552,0.20750146,-0.7428921,882.5667,1371.623,1677.4039,6457850.0,6160679.0,5525831.0,90.0,60.0,42.0,251.0,254.0,253.0,209.62282,199.9766,179.36934,-1.2576969,-0.9795257,-0.56629705,53488.0,1634.5402,481.3735,0.70901376,146.56696,3.6752346,75440.0,1.9447875,9.0,1590.7609,511.17053,15156882.0,1603.5,502.5,2439.111
3,0,4,molt,molt,0.97,0.03,0.0,0.0,113.63538,66.31981,132.63962,2.0,132.63962,1353.0,539.0,1353.7886,538.0219,60.683628,81.54794,109.88821,81.54794,125.43193,167.53754,109.88821,167.53754,273.4367,-0.21376705,-0.26505446,0.44615507,185.0,147.0,106.0,664649.0,585655.0,446921.0,60.683628,125.43193,273.4367,1386.0,589.0,1325.0,484.0,234.0,220.0,201.0,207.89772,183.18893,139.79387,0.39330095,-0.9194098,0.9194098,0.39330095,25.9543,10.456698,0.5310914,0.5455065,0.9320292,3197.0,0.3447426,-0.5360013,-0.77062,0.5181807,-0.5758644,0.63235193,0.78271407,0.61731905,-0.079220556,315.3175,428.73477,471.81345,428.73477,620.5379,724.49274,471.81345,724.49274,1013.85345,8.620202,4.742072,0.21692328,315.3175,620.5379,1013.85345,2507090.0,2427059.0,2206151.0,132.0,104.0,94.0,255.0,255.0,252.0,231.94467,224.54057,204.10315,-2.5973182,-2.0117364,-1.0619076,3197.0,1356.2073,533.98505,0.4991413,33.43134,-4.427447,6405.0,0.21906686,4.0,1353.7886,538.0219,717252.7,1355.0,536.0,802.0
4,0,5,adult,adult,0.0,0.04,0.96,5.0,363.29877,140.52977,432.88434,5.0,962.5849,1654.0,788.0,1647.1018,794.42694,668.8587,621.0453,449.52444,621.0453,607.23755,451.73203,449.52444,451.73203,398.16275,-0.62806207,-0.5125626,0.21653295,62.0,45.0,25.0,7920479.0,6503504.0,4776655.0,668.8587,607.23755,398.16275,1820.0,941.0,1494.0,654.0,208.0,194.0,178.0,127.84245,104.97141,77.09878,0.73511404,-0.67794347,-0.67794347,-0.73511404,89.79174,56.741432,0.13445087,0.25337815,0.5562117,61955.0,0.6362576,-0.532386,-0.55833805,0.61257684,-0.09129839,0.78512055,0.46896255,0.8415639,-0.26803803,992.32825,1209.1824,1302.6206,1209.1824,1516.3197,1672.634,1302.6206,1672.634,1971.6782,0.7466483,-0.04420122,-0.71190387,992.32825,1516.3197,1971.6782,7025644.0,6711005.0,6079923.0,90.0,68.0,51.0,252.0,254.0,247.0,204.82927,195.65613,177.25723,-1.1114703,-0.88916063,-0.6270111,61955.0,1674.922,802.0436,0.6621812,135.3137,1.9276916,93562.0,1.7815672,9.0,1647.1018,794.42694,43265510.0,1656.5,797.0,3511.889
5,0,6,0,adult,0.0,0.1,0.9,0.0,267.15164,51.6884,354.93607,182.0,9407.289,756.0,816.0,771.64966,807.239,952.48334,964.59076,804.2128,964.59076,1034.3701,883.49054,804.2128,883.49054,891.28186,3.60346,6.1890264,7.494451,51.0,39.0,25.0,6008047.0,4838111.0,3776640.0,952.48334,1034.3701,891.28186,915.0,922.0,605.0,673.0,246.0,247.0,235.0,111.05037,89.425735,69.80592,0.9214329,-0.38853753,-0.38853753,-0.9214329,76.579384,57.959236,1.6527858,2.2653308,2.6449842,54102.0,0.5760936,-0.55184686,-0.602977,0.6099982,-0.20076934,0.7665467,0.54407567,0.80941755,-0.22096364,1090.5463,1395.1659,1451.1067,1395.1659,1813.7424,1890.2612,1451.1067,1890.2612,2110.4844,0.39918494,0.16518334,-0.16129246,1090.5463,1813.7424,2110.4844,6360977.0,6189060.0,5802530.0,91.0,79.0,45.0,255.0,255.0,255.0,218.17792,212.28125,199.0235,-1.2629584,-1.2066698,-0.9482791,54102.0,731.0298,773.00696,0.7008939,145.22523,3.9197714,77190.0,1.975218,4.0,771.64966,807.239,19263554.0,759.5,797.0,5772.0
6,0,7,molt,molt,0.88,0.11,0.01,0.0,77.07788,10.134324,90.39697,52.0,526.98486,1862.0,728.0,1858.1793,728.53656,102.404106,113.569855,103.965675,113.569855,139.14365,126.438995,103.965675,126.438995,158.53853,0.16638508,0.34677356,-0.08157746,161.0,131.0,87.0,375556.0,326045.0,239337.0,102.404106,139.14365,158.53853,1887.0,767.0,1830.0,693.0,219.0,203.0,162.0,183.0195,158.89133,116.63596,0.49048895,-0.87144744,0.87144744,0.49048895,21.398075,8.282223,0.599626,0.7830364,0.5185695,2052.0,0.5045979,-0.47139293,-0.7233047,0.6002044,-0.41067705,0.68636656,0.62059295,0.7804698,-0.07570532,610.6215,846.67017,1076.1509,846.67017,1195.5941,1534.6433,1076.1509,1534.6433,2054.2607,1.129338,0.30366072,-0.42671293,610.6215,1195.5941,2054.2607,1932576.0,1855548.0,1668333.0,110.0,81.0,64.0,249.0,250.0,245.0,216.12346,207.50928,186.5727,-1.2936999,-1.1110052,-0.89111316,2052.0,1857.8301,730.4127,0.4864865,25.011732,-5.7860856,4218.0,0.033868752,4.0,1858.1793,728.53656,304923.0,1858.0,729.5,541.5
7,0,8,juvenile,juvenile,0.04,0.95,0.01,0.0,207.62466,18.51763,241.13708,131.0,2425.8096,174.0,853.0,171.59694,857.5726,469.6079,466.32874,252.17416,466.32874,491.51743,278.14194,252.17416,278.14194,282.2877,-0.44327444,-0.51129854,0.18634541,74.0,51.0,48.0,2010843.0,1645683.0,1321895.0,469.6079,491.51743,282.2877,233.0,960.0,111.0,751.0,199.0,178.0,169.0,137.18399,112.272,90.182495,0.2970472,-0.9548628,0.9548628,0.2970472,54.64908,22.821922,-0.22658749,-0.024665277,0.5975818,14658.0,0.63344365,-0.37446153,-0.6771468,0.65594035,-0.20436609,0.72662014,0.4104771,0.90444076,-0.11617002,1395.1249,1724.2886,1428.7235,1724.2886,2175.9573,1830.6095,1428.7235,1830.6095,1882.8552,-0.5340943,-0.9491859,-1.0993037,1395.1249,2175.9573,1882.8552,3843733.0,3633607.0,3414835.0,97.0,75.0,74.0,255.0,255.0,255.0,201.36908,190.36081,178.89957,-0.6511467,-0.46781442,-0.008184444,14658.0,171.36891,851.5213,0.5748686,71.765656,-5.622336,25498.0,-0.047207247,4.0,171.59694,857.5726,4916539.5,171.5,855.0,2710.0
8,0,9,adult,adult,0.0,0.07,0.93,0.0,244.66304,67.54374,371.32086,45.0,3039.4685,1929.0,918.0,1911.6482,928.4094,641.06366,576.7012,384.45322,576.7012,549.66,381.84766,384.45322,381.84766,341.87994,0.2304601,0.9549711,4.4021316,51.0,39.0,20.0,5385637.0,4397369.0,3239621.0,641.06366,549.66,341.87994,2089.0,1065.0,1775.0,813.0,200.0,196.0,184.0,104.480125,85.30795,62.847904,0.9189353,-0.39440826,-0.39440826,-0.9189353,74.89027,56.879925,0.78662324,1.0142885,1.7664756,51547.0,0.65468735,-0.49582797,-0.5705604,0.61313397,-0.093130276,0.7844702,0.4420987,0.8634126,-0.24303775,784.66547,952.58484,1058.8694,952.58484,1182.807,1336.3623,1058.8694,1336.3623,1621.4335,2.7535644,1.8949716,1.0428673,784.66547,1182.807,1621.4335,6335255.0,6199661.0,5774155.0,84.0,68.0,51.0,253.0,252.0,252.0,213.17905,208.61636,194.29823,-1.7152227,-1.5391392,-1.3190398,51547.0,1968.6017,957.3585,0.6514382,144.7588,3.3909917,79128.0,1.6892631,6.0,1911.6482,928.4094,30544738.0,1931.5,938.5,4596.8335
9,0,10,molt,molt,0.96,0.04,0.0,0.0,134.18271,20.297998,149.95332,78.0,1583.2439,2261.0,1183.0,2259.4854,1183.1224,88.44506,125.727295,135.49738,125.727295,194.64467,212.35925,135.49738,212.35925,309.9282,0.5180834,0.5868299,-0.24676113,187.0,153.0,96.0,1219640.0,1060380.0,784016.0,88.44506,194.64467,309.9282,2298.0,1245.0,2218.0,1117.0,237.0,226.0,187.0,203.74875,177.14334,130.97495,-0.384408,-0.9231633,0.9231633,-0.384408,35.560284,13.60759,1.0594258,1.1344783,0.7574346,5986.0,0.37324533,-0.47047216,-0.7995898,0.5736443,-0.56032664,0.5974665,0.7291229,0.68168175,-0.060744353,67.68659,95.14079,117.36165,95.14079,149.77101,187.9272,117.36165,187.9272,286.57114,5.499222,5.2761207,3.1161287,67.68659,149.77101,286.57114,2955703.0,2925287.0,2780940.0,194.0,172.0,131.0,253.0,253.0,250.0,237.71135,235.26517,223.6561,-2.098868,-2.1230829,-1.6664236,5986.0,2254.706,1176.8098,0.5845703,43.314377,-4.113665,10240.0,0.32987794,4.0,2259.4854,1183.1224,1277783.0,2257.5,1180.5,1063.5
