object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of molt,Probability of juvenile,Probability of adult,Number of Holes,Euclidean Diameter,Average Branch Length,Diameter,Number of Branches,Length of the Skeleton,Center of the Skeleton_0,Center of the Skeleton_1,Center of the object_0,Center of the object_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Kurtosis of Intensity_0,Kurtosis of Intensity_1,Kurtosis of Intensity_2,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Total Intensity_0,Total Intensity_1,Total Intensity_2,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Radii of the object_0,Radii of the object_1,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Size in pixels,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Covariance of Channel Intensity in neighborhood_4,Covariance of Channel Intensity in neighborhood_5,Covariance of Channel Intensity in neighborhood_6,Covariance of Channel Intensity in neighborhood_7,Covariance of Channel Intensity in neighborhood_8,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_2,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Skewness of Intensity in neighborhood_2,Object Area,Defect Center_0,Defect Center_1,Convexity,Mean Defect Displacement,Kurtosis of Defect Area,Convex Hull Area,Skewness of Defect Area,Number of Defects,Object Center_0,Object Center_1,Variance of Defect Area,Convex Hull Center_0,Convex Hull Center_1,Mean Defect Area
0,0,1,adult,adult,0.05,0.26,0.69,0.0,280.7223,49.485554,296.8305,140.0,6927.9775,1588.0,287.0,1592.2493,292.44876,302.3153,309.7882,235.18173,309.7882,338.452,258.99707,235.18173,258.99707,240.00876,-0.47435224,-0.47296554,-0.061780356,102.0,75.0,53.0,5603842.0,4630272.0,3471336.0,302.3153,338.452,240.00876,1706.0,404.0,1476.0,187.0,198.0,183.0,149.0,145.85362,120.51409,90.34997,0.745865,0.66609716,0.66609716,-0.745865,66.02598,46.760376,0.16391215,0.2904736,0.6519058,38421.0,0.5888322,-0.49683675,-0.6375185,0.63012046,-0.21179299,0.74705553,0.5061866,0.8416038,-0.18835646,573.9389,763.90607,892.17004,763.90607,1046.3413,1241.2897,892.17004,1241.2897,1603.1644,-0.6850224,-1.04779,-1.0179268,573.9389,1046.3413,1603.1644,5328915.0,5156214.0,4779217.0,128.0,111.0,90.0,255.0,255.0,255.0,218.50562,211.42422,195.96593,-0.60700715,-0.48635966,-0.40154263,38421.0,1584.6503,303.53174,0.76980567,110.99796,-4.230174,49910.0,0.09955402,4.0,1592.2493,292.44876,7329659.0,1590.5,295.0,2872.25
1,0,2,0,molt,0.56,0.39,0.05,0.0,97.6166,14.256537,116.4386,64.0,912.4184,1398.0,650.0,1396.1774,650.69293,140.30122,138.47289,54.15892,138.47289,166.55711,88.71092,54.15892,88.71092,169.20082,-0.6768538,-0.19990696,-0.40843526,133.0,102.0,64.0,768994.0,629863.0,454545.0,140.30122,166.55711,169.20082,1440.0,690.0,1354.0,611.0,199.0,176.0,140.0,164.31496,134.5861,97.125,0.72822076,0.6853426,0.6853426,-0.72822076,24.62094,15.404798,0.008088978,0.36626565,0.37055862,4680.0,0.56383926,-0.4539583,-0.6899327,0.66262025,-0.24998687,0.70600355,0.4929703,0.8552359,-0.15984955,668.1462,886.5289,847.958,886.5289,1204.6742,1169.1378,847.958,1169.1378,1373.106,-0.91437006,-1.0098227,-0.915706,668.1462,1204.6742,1373.106,2267077.0,2115673.0,1836619.0,138.0,109.0,81.0,255.0,255.0,255.0,209.4491,195.46129,169.68025,0.0065370905,0.08471528,0.17474216,4680.0,1397.2142,648.46594,0.6888431,37.86423,-3.1812317,6794.0,0.5856659,5.0,1396.1774,650.69293,251356.7,1396.5,650.0,422.8
2,0,3,0,molt,0.48,0.46,0.06,0.0,96.79876,17.093735,105.497475,52.0,888.87427,1432.0,768.0,1429.4158,768.5114,152.40184,132.91927,67.98121,132.91927,145.85661,73.68878,67.98121,73.68878,73.31176,10.029692,16.664122,6.6221347,70.0,51.0,29.0,308495.0,214363.0,179033.0,152.40184,145.85661,73.31176,1456.0,817.0,1401.0,725.0,192.0,173.0,120.0,97.99714,68.09498,56.871983,0.42671636,-0.9043855,0.9043855,0.42671636,23.317991,10.959227,2.2349901,3.1977792,1.715856,3148.0,0.65956926,-0.4400397,-0.60937136,0.65249956,-0.06723309,0.7548006,0.37311217,0.89545786,-0.24278083,2045.2067,2506.4219,2228.686,2506.4219,3131.586,2823.3088,2228.686,2823.3088,2767.0593,-1.15691,-1.2375765,-1.1384922,2045.2067,3131.586,2767.0593,1753131.0,1614181.0,1475957.0,85.0,58.0,48.0,248.0,250.0,247.0,184.05576,169.46782,154.95612,-0.446345,-0.35538837,-0.26948726,3148.0,1425.669,773.77405,0.6221344,34.922478,-3.4285305,5060.0,0.44002953,4.0,1429.4158,768.5114,228016.0,1428.0,770.5,478.0
3,0,4,0,molt,0.62,0.35,0.03,0.0,55.00909,8.817751,61.213203,31.0,273.35028,1685.0,833.0,1683.6827,832.3627,91.350845,107.47433,112.29523,107.47433,156.93039,167.1573,112.29523,167.1573,240.34279,14.158436,11.212312,4.017657,97.0,68.0,48.0,116421.0,89368.0,77619.0,91.350845,156.93039,240.34279,1701.0,862.0,1671.0,806.0,175.0,168.0,148.0,110.24716,84.628784,73.50284,-0.06807052,-0.9976805,0.9976805,-0.06807052,12.98328,7.1714377,2.9914985,2.7486687,1.7537162,1056.0,0.40630224,-0.59964675,-0.68945074,0.57447505,-0.41912228,0.70307535,0.710561,0.6817333,-0.17419177,2629.3857,3309.403,3421.2854,3309.403,4239.3877,4464.4805,3421.2854,4464.4805,4968.6685,-1.660956,-1.6927154,-1.5911092,2629.3857,4239.3877,4968.6685,1272867.0,1196555.0,1141092.0,98.0,72.0,45.0,255.0,255.0,255.0,185.68446,174.55215,166.46127,-0.06500831,-0.050291218,-0.09998959,1056.0,1688.5753,835.4247,0.62857145,22.025824,-1.7989916,1680.0,0.7434548,4.0,1683.6827,832.3627,10150.667,1685.5,833.5,156.0
4,0,5,juvenile,juvenile,0.09,0.9,0.01,0.0,140.06427,21.223528,153.92389,58.0,1230.9646,2169.0,917.0,2166.6929,921.213,239.34492,266.6821,259.6361,266.6821,317.9333,311.68448,259.6361,311.68448,388.4086,0.33396408,1.1754122,2.473547,105.0,72.0,68.0,1007897.0,852748.0,680136.0,239.34492,317.9333,388.4086,2208.0,982.0,2126.0,855.0,225.0,221.0,212.0,163.38094,138.23116,110.25061,-0.45291877,-0.8915518,0.8915518,-0.45291877,33.216393,15.180995,0.45989105,0.6777935,1.3010571,6169.0,0.50083077,-0.5020931,-0.70503265,0.5880311,-0.40033406,0.7028172,0.63512826,0.76657367,-0.094746746,1137.7347,1523.719,1858.9688,1523.719,2069.1934,2549.0752,1858.9688,2549.0752,3379.739,-1.0403897,-1.1311436,-1.1463974,1137.7347,2069.1934,3379.739,2706913.0,2595634.0,2414107.0,104.0,77.0,60.0,255.0,255.0,255.0,215.82787,206.95535,192.48183,-0.5758684,-0.5652394,-0.54349905,6169.0,2166.2197,913.33075,0.59237564,45.706516,-5.115237,10414.0,0.06233373,4.0,2166.6929,921.213,1191248.2,2166.5,918.0,1061.25
5,0,6,juvenile,juvenile,0.05,0.93,0.02,0.0,114.17968,25.479494,138.59798,67.0,1707.1261,1387.0,918.0,1388.5376,912.65094,303.54385,302.60275,163.24107,302.60275,346.03366,224.08739,163.24107,224.08739,258.83517,0.6011832,0.30807456,1.7713562,85.0,62.0,51.0,1126721.0,881239.0,633299.0,303.54385,346.03366,258.83517,1429.0,985.0,1352.0,856.0,203.0,190.0,165.0,152.19789,119.03809,85.546265,-0.089425735,-0.9959935,0.9959935,-0.089425735,31.61549,19.117947,-0.37051892,0.3022521,1.1431788,7403.0,0.5859781,-0.5191397,-0.62219256,0.65918535,-0.14117453,0.7386098,0.4712794,0.8429494,-0.25948414,1010.75995,1325.5884,1288.4038,1325.5884,1781.249,1748.5094,1288.4038,1748.5094,1929.8119,-0.9030307,-1.1663872,-1.026734,1010.75995,1781.249,1929.8119,2675079.0,2533898.0,2304616.0,124.0,102.0,62.0,255.0,255.0,255.0,212.6792,201.45476,183.22595,-0.54108626,-0.40793476,-0.2565821,7403.0,1394.279,941.50397,0.74529344,57.734955,-0.94761026,9933.0,0.9161158,4.0,1388.5376,912.65094,219639.0,1390.0,920.0,632.5
6,0,7,0,juvenile,0.33,0.62,0.05,0.0,93.941475,12.775862,111.46804,63.0,804.8793,1610.0,1018.0,1607.2064,1010.27264,358.9845,295.8502,80.66708,295.8502,264.89273,84.66513,80.66708,84.66513,105.76442,0.00405174,1.1114413,5.0206566,79.0,55.0,33.0,452423.0,325016.0,225704.0,358.9845,264.89273,105.76442,1658.0,1043.0,1567.0,978.0,195.0,165.0,128.0,122.24345,87.81843,60.9846,0.91063267,0.41321677,0.41321677,-0.91063267,23.156162,13.747215,0.4033209,0.9713017,1.7032056,3701.0,0.7403069,-0.2686137,-0.6162729,0.63730264,-0.011380726,0.77052957,0.21398844,0.9631808,-0.16276298,1954.0287,2617.908,2908.7185,2617.908,3547.8096,3974.4824,2908.7185,3974.4824,4634.675,-1.0830228,-1.2205409,-1.3102655,1954.0287,3547.8096,4634.675,2199308.0,2073975.0,1916976.0,104.0,68.0,45.0,255.0,255.0,255.0,208.34673,196.47357,181.6006,-0.62695354,-0.57922226,-0.45503026,3701.0,1620.0131,1009.54425,0.6256974,37.336674,-1.0498099,5915.0,0.8806482,4.0,1607.2064,1010.27264,186105.0,1612.0,1010.0,553.5
7,0,8,0,molt,0.71,0.28,0.01,1.0,46.06517,7.4455123,64.52691,35.0,290.73508,1006.0,1080.0,1005.4435,1078.5244,114.89061,160.39058,184.8613,160.39058,243.48056,290.922,184.8613,290.922,545.4303,-0.05547838,0.09045284,-0.50717604,172.0,119.0,42.0,205766.0,156112.0,96566.0,114.89061,243.48056,545.4303,1029.0,1098.0,981.0,1058.0,238.0,209.0,164.0,200.55165,152.15594,94.11891,0.82584894,-0.5638914,-0.5638914,-0.82584894,13.374652,6.9880776,0.09759859,0.3558556,0.48608994,1026.0,0.33023995,-0.50382626,-0.7981858,0.5057509,-0.6195465,0.60031503,0.79696774,0.6019313,-0.050211597,884.8561,1526.3639,2010.1362,1526.3639,2668.529,3535.3074,2010.1362,3535.3074,4980.2695,-1.1094425,-1.2827572,-1.2872021,884.8561,2668.529,4980.2695,1570784.0,1429029.0,1271042.0,162.0,104.0,33.0,255.0,255.0,255.0,229.54611,208.83078,185.7434,-0.6877224,-0.58084583,-0.47559726,1026.0,1003.41724,1076.3243,0.534375,18.553679,-2.008348,1920.0,0.7541741,5.0,1005.4435,1078.5244,34306.7,1004.5,1077.5,178.8
8,0,9,juvenile,juvenile,0.32,0.67,0.01,0.0,106.16968,21.334288,126.669044,48.0,1024.0458,1393.0,1154.0,1391.9379,1154.8489,136.70924,179.1921,201.41322,179.1921,261.84647,295.19894,201.41322,295.19894,373.5298,1.7180384,1.0147592,0.9635888,163.0,128.0,87.0,1031030.0,881414.0,670504.0,136.70924,261.84647,373.5298,1422.0,1211.0,1366.0,1096.0,252.0,244.0,224.0,194.75444,166.49301,126.65357,0.102660865,-0.9947164,0.9947164,0.102660865,29.717482,14.317584,0.67945164,0.5974987,0.7271233,5294.0,0.40855554,-0.62293965,-0.6671046,0.5864614,-0.38088456,0.71483564,0.6993893,0.6832812,-0.20971757,674.39386,937.69586,1210.2205,937.69586,1327.5128,1730.8126,1210.2205,1730.8126,2422.6135,0.3884223,-0.3405569,-0.870703,674.39386,1327.5128,2422.6135,2623789.0,2516865.0,2355700.0,131.0,104.0,81.0,255.0,255.0,255.0,233.35014,223.84071,209.5073,-1.0468191,-0.85651475,-0.66035134,5294.0,1400.7164,1144.459,0.8220497,50.035988,3.1767285,6440.0,1.6978049,4.0,1391.9379,1154.8489,48318.332,1393.5,1153.0,286.5
9,0,10,0,juvenile,0.37,0.6,0.03,1.0,78.23682,9.50689,104.15433,70.0,738.1808,964.0,1149.0,959.1901,1147.421,323.95865,449.4013,400.60117,449.4013,652.50543,587.25867,400.60117,587.25867,738.8455,-0.9405317,-0.7213496,1.2153989,161.0,98.0,29.0,614914.0,450226.0,244603.0,323.95865,652.50543,738.8455,993.0,1181.0,923.0,1109.0,246.0,233.0,186.0,197.46756,144.58125,78.54945,-0.5270373,-0.84984213,0.84984213,-0.5270373,19.2709,13.728159,0.055324547,0.3688157,1.1500511,3114.0,0.43326938,-0.41267836,-0.80123293,0.6256196,-0.5022165,0.5969746,0.6487509,0.75991786,-0.04058462,728.87634,1317.0795,1801.5826,1317.0795,2436.929,3377.6208,1801.5826,3377.6208,4976.1772,-0.80837536,-1.1303499,-1.1874682,728.87634,2436.929,4976.1772,2308741.0,2101211.0,1860347.0,165.0,105.0,36.0,255.0,255.0,255.0,232.78291,211.85834,187.5728,-0.8316254,-0.66280144,-0.55735964,3114.0,954.7674,1139.7772,0.61785716,32.393227,0.38487855,5040.0,1.2761884,7.0,959.1901,1147.421,131730.81,957.5,1144.5,275.14285
