object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of molt,Probability of juvenile,Probability of adult,Number of Holes,Euclidean Diameter,Average Branch Length,Diameter,Number of Branches,Length of the Skeleton,Center of the Skeleton_0,Center of the Skeleton_1,Center of the object_0,Center of the object_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Kurtosis of Intensity_0,Kurtosis of Intensity_1,Kurtosis of Intensity_2,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Total Intensity_0,Total Intensity_1,Total Intensity_2,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Radii of the object_0,Radii of the object_1,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Size in pixels,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Covariance of Channel Intensity in neighborhood_4,Covariance of Channel Intensity in neighborhood_5,Covariance of Channel Intensity in neighborhood_6,Covariance of Channel Intensity in neighborhood_7,Covariance of Channel Intensity in neighborhood_8,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_2,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Skewness of Intensity in neighborhood_2,Object Area,Defect Center_0,Defect Center_1,Convexity,Mean Defect Displacement,Kurtosis of Defect Area,Convex Hull Area,Skewness of Defect Area,Number of Defects,Object Center_0,Object Center_1,Variance of Defect Area,Convex Hull Center_0,Convex Hull Center_1,Mean Defect Area
0,0,1,0,juvenile,0.03,0.93,0.04,1.0,130.86252,21.35831,246.11984,91.0,1963.5059,836.0,16.0,833.92114,47.5823,346.1765,357.98285,215.31277,357.98285,404.08804,265.76614,215.31277,265.76614,299.17297,0.43791428,0.07193741,1.1919906,90.0,58.0,53.0,2863905.0,2288218.0,1754845.0,346.1765,404.08804,299.17297,932.0,115.0,716.0,0.0,209.0,190.0,185.0,157.92142,126.176895,96.76565,0.98461485,0.17473865,0.17473865,-0.98461485,52.972645,28.87613,-0.50171626,-0.019383125,0.9426905,18135.0,0.5857668,-0.4606338,-0.6668536,0.65223724,-0.22049576,0.72523665,0.48110694,0.8597663,-0.17128341,1005.55273,1257.8988,1111.0723,1257.8988,1615.9937,1458.771,1111.0723,1458.771,1640.1554,0.65293515,-0.20509063,-1.1189233,1005.55273,1615.9937,1640.1554,2712272.0,2598661.0,2496517.0,91.0,70.0,82.0,255.0,255.0,255.0,212.87749,203.96053,195.94357,-1.0569417,-0.8073503,-0.2239151,18135.0,795.31396,82.47204,0.73007244,90.04153,5.5821047,24840.0,2.3375978,7.0,833.92114,47.5823,3392331.5,823.5,57.0,957.8571
1,0,2,0,juvenile,0.03,0.91,0.06,0.0,183.15294,20.701223,227.69344,124.0,2566.9517,1138.0,583.0,1131.1798,577.2559,428.10822,425.9127,240.34811,425.9127,456.0646,286.27075,240.34811,286.27075,329.43085,-0.55421144,-0.19950894,1.5040827,96.0,70.0,36.0,2809558.0,2190219.0,1478111.0,428.10822,456.0646,329.43085,1233.0,643.0,1042.0,502.0,218.0,197.0,177.0,156.36453,121.89554,82.26353,0.9131559,0.40761042,0.40761042,-0.9131559,49.199085,29.981813,-0.042326342,0.30668423,1.1151222,17968.0,0.61079645,-0.44298464,-0.6562715,0.6477211,-0.19716312,0.73592395,0.45539555,0.8745807,-0.16650397,1049.2645,1357.4064,1182.15,1357.4064,1795.8541,1588.1119,1182.15,1588.1119,1820.7032,-0.22985555,-0.6879524,-0.92475843,1049.2645,1795.8541,1820.7032,4156380.0,3972446.0,3681961.0,94.0,72.0,81.0,255.0,255.0,255.0,218.7223,209.0431,193.75682,-0.83702254,-0.67409617,-0.31211028,17968.0,1148.6677,561.46356,0.6671865,81.60297,1.1643281,26931.0,1.270192,4.0,1131.1798,577.2559,3395233.0,1137.0,572.0,2240.75
2,0,3,0,juvenile,0.06,0.88,0.06,0.0,152.0033,18.679968,190.78175,111.0,2073.4763,2134.0,675.0,2135.9482,677.92896,466.47177,475.24,284.69315,475.24,517.27625,329.6824,284.69315,329.6824,306.85675,-0.67215514,-0.5203536,0.10276579,88.0,60.0,39.0,1727147.0,1345123.0,999509.0,466.47177,517.27625,306.85675,2190.0,752.0,2069.0,596.0,198.0,178.0,157.0,141.7437,110.39171,82.027824,-0.39454892,-0.9188749,0.9188749,-0.39454892,39.602074,25.330994,0.19287328,0.49441314,0.7456319,12185.0,0.6106325,-0.46094278,-0.64394075,0.6553233,-0.16240981,0.73768175,0.44461137,0.8724419,-0.20289384,1360.6808,1745.2031,1574.9996,1745.2031,2292.73,2116.9148,1574.9996,2116.9148,2354.9502,-0.9702382,-1.1449395,-1.0285133,1360.6808,2292.73,2354.9502,3309997.0,3170036.0,2996713.0,96.0,72.0,62.0,255.0,255.0,255.0,205.51329,196.8233,186.0619,-0.6345961,-0.55261153,-0.43475088,12185.0,2116.3467,665.43445,0.64552873,65.504585,1.8987447,18876.0,1.2003721,4.0,2135.9482,677.92896,2317058.2,2129.0,673.5,1672.75
3,0,4,0,adult,0.0,0.18,0.82,8.0,343.6408,154.77342,478.18585,5.0,1546.3616,1047.0,828.0,1036.0729,852.8328,385.56894,398.95084,234.20915,398.95084,439.39847,260.5594,234.20915,260.5594,254.52727,0.3625482,0.5074929,2.0979176,79.0,51.0,36.0,9928599.0,8132194.0,6172497.0,385.56894,439.39847,254.52727,1233.0,996.0,885.0,674.0,218.0,207.0,196.0,151.79024,124.32646,94.36626,0.8120294,0.5836165,0.5836165,-0.8120294,104.07223,65.09127,-0.2291158,-0.10439651,0.46244118,65410.0,0.6129045,-0.35663453,-0.7050957,0.6601376,-0.25929072,0.7049728,0.43424243,0.89754117,-0.07650743,1200.9613,1511.8663,1188.9363,1511.8663,1948.8358,1576.68,1188.9363,1576.68,1857.2142,-0.6492629,-0.9625275,-1.1080534,1200.9613,1948.8358,1857.2142,9289926.0,8729556.0,7993561.0,101.0,77.0,72.0,255.0,255.0,255.0,207.31815,194.81268,178.38788,-0.37367243,-0.20251141,0.21906458,65410.0,1089.9487,808.79254,0.583726,142.42319,14.340412,112056.0,3.6923647,18.0,1036.0729,852.8328,48182564.0,1058.5,834.5,2591.4443
4,0,5,0,juvenile,0.02,0.61,0.37,1.0,263.0076,23.842901,298.3625,169.0,4038.2788,684.0,981.0,682.8727,972.7877,369.59778,362.67313,179.00735,362.67313,383.17447,201.75189,179.00735,201.75189,210.16856,0.08554536,0.20716515,1.5161394,85.0,62.0,55.0,5315317.0,4302600.0,3236179.0,369.59778,383.17447,210.16856,772.0,1106.0,579.0,853.0,204.0,190.0,169.0,154.04483,124.69497,93.7887,0.40239736,-0.9154651,0.9154651,0.40239736,64.748055,43.38673,-0.72669125,-0.44950324,0.8586529,34505.0,0.6413949,-0.37227294,-0.67083937,0.66244894,-0.17234354,0.7290124,0.3870064,0.9119817,-0.13607153,1426.5824,1729.3649,1391.4213,1729.3649,2144.6152,1780.0787,1391.4213,1780.0787,1953.4242,-0.248259,-0.6808495,-1.1134893,1426.5824,2144.6152,1953.4242,5266573.0,5044096.0,4822923.0,91.0,64.0,72.0,255.0,255.0,255.0,214.81311,205.73871,196.7175,-0.79306674,-0.6331914,-0.21860836,34505.0,656.0355,993.96466,0.7066497,111.93729,3.23168,48829.0,1.8171436,8.0,682.8727,972.7877,7620777.5,675.0,979.0,1790.5
5,0,6,0,juvenile,0.06,0.9,0.04,0.0,144.00694,17.959524,196.65181,116.0,2083.305,1748.0,976.0,1748.7096,976.8541,379.6153,389.6488,251.42612,389.6488,436.32318,321.8002,251.42612,321.8002,388.45502,-0.7136534,-0.48215812,1.164386,106.0,82.0,53.0,2083783.0,1692123.0,1159969.0,379.6153,436.32318,388.45502,1834.0,1036.0,1670.0,925.0,212.0,197.0,183.0,167.39902,135.93533,93.18517,0.926318,-0.37674254,-0.37674254,-0.926318,42.25541,24.070602,-0.3115547,0.14828297,1.1144822,12448.0,0.56651145,-0.5165988,-0.6420206,0.63537043,-0.22230196,0.73951757,0.5247563,0.8268661,-0.20229499,890.67456,1166.8162,1075.3738,1166.8162,1567.4851,1459.2888,1075.3738,1459.2888,1647.4613,-0.45483974,-0.7872264,-0.6405624,890.67456,1567.4851,1647.4613,3578274.0,3440356.0,3191269.0,121.0,93.0,75.0,255.0,255.0,255.0,218.97522,210.53522,195.29214,-0.78283393,-0.68359125,-0.5516067,12448.0,1757.5345,986.80334,0.68380576,66.7016,1.1078135,18204.0,1.4231405,7.0,1748.7096,976.8541,1328373.9,1751.5,980.0,822.2857
6,0,7,0,adult,0.0,0.1,0.9,1.0,305.08032,123.678825,447.0021,8.0,1158.4255,1480.0,1116.0,1490.277,1113.8348,889.72284,836.9615,476.03946,836.9615,823.5484,491.26575,476.03946,491.26575,421.7818,0.58933043,0.4985193,2.3527637,48.0,42.0,36.0,8999241.0,7500860.0,6100289.0,889.72284,823.5484,421.7818,1617.0,1271.0,1343.0,949.0,254.0,255.0,236.0,145.62585,121.37903,98.71497,-0.5565338,-0.830825,0.830825,-0.5565338,80.09206,63.683167,-0.9300389,-0.4734406,0.57853454,61797.0,0.65757036,-0.4205756,-0.62507385,0.63890296,-0.12838215,0.7584992,0.3992546,0.89812815,-0.18428668,1395.4276,1647.2775,1436.8906,1647.2775,1994.4752,1808.5038,1436.8906,1808.5038,2038.187,2.2517538,0.5856486,-1.1824453,1395.4276,1994.4752,2038.187,7483341.0,7251998.0,6876671.0,60.0,51.0,77.0,255.0,255.0,255.0,220.1112,213.30661,202.26692,-1.4032884,-1.021055,-0.37910324,61797.0,1454.303,1099.365,0.7004239,149.346,6.1169147,88228.0,2.4137723,14.0,1490.277,1113.8348,14558878.0,1479.5,1109.5,1887.9286
7,0,8,0,molt,0.79,0.21,0.0,0.0,42.579338,8.1122055,52.213203,23.0,186.58073,1338.0,1141.0,1338.7068,1141.145,23.283148,20.607098,28.544851,20.607098,31.001541,50.233513,28.544851,50.233513,177.29034,-0.38226035,0.76204634,-0.4160112,179.0,158.0,127.0,124805.0,112105.0,97643.0,23.283148,31.001541,177.29034,1349.0,1166.0,1330.0,1118.0,208.0,195.0,185.0,192.60031,173.00154,150.68364,0.06553269,-0.9978504,0.9978504,0.06553269,13.103875,4.28635,-0.1768741,0.19153605,0.65939957,648.0,0.18702517,-0.71733445,-0.6711579,0.3020312,-0.6081307,0.73413503,0.934772,0.34001234,-0.102921635,1065.079,1439.191,1731.1656,1439.191,1968.143,2377.4688,1731.1656,2377.4688,3006.1702,-1.4702555,-1.533174,-1.5768796,1065.079,1968.143,3006.1702,1268635.0,1190724.0,1085661.0,145.0,110.0,84.0,255.0,255.0,255.0,205.0485,192.4558,175.47455,0.19932845,0.19789428,0.14915021,648.0,1339.7197,1142.3712,0.7105263,13.310149,-4.949,912.0,0.11596205,4.0,1338.7068,1141.145,2991.3333,1339.0,1141.5,66.0
8,0,9,0,molt,0.93,0.07,0.0,0.0,49.40648,10.626552,64.35534,33.0,350.67618,833.0,1235.0,831.05475,1237.3369,65.974915,85.940575,98.11264,85.940575,127.24716,136.5762,98.11264,136.5762,226.72957,3.0196557,1.9104998,0.65376544,167.0,126.0,121.0,291405.0,252066.0,207465.0,65.974915,127.24716,226.72957,860.0,1263.0,807.0,1214.0,237.0,220.0,205.0,207.11087,179.15138,147.45203,0.71507126,-0.69905156,-0.69905156,-0.71507126,14.263514,8.535558,-0.26863974,-0.17768869,1.0064024,1407.0,0.3858041,-0.40557215,-0.8286534,0.54196876,-0.62723875,0.5593223,0.74660903,0.6648931,0.022183819,309.86432,465.10062,550.7128,465.10062,723.2241,889.6848,550.7128,889.6848,1361.2964,-0.6514017,-0.8447606,-1.231294,309.86432,723.2241,1361.2964,1777627.0,1706469.0,1598381.0,175.0,132.0,130.0,255.0,255.0,255.0,239.73392,230.13742,215.56049,-0.7706926,-0.65300417,-0.41232502,1407.0,835.3,1238.784,0.541779,22.311945,-1.8169765,2597.0,0.35988015,4.0,831.05475,1237.3369,63897.668,833.0,1238.0,297.5
9,0,10,0,juvenile,0.01,0.99,0.0,1.0,136.0,22.938234,172.50967,57.0,1312.3077,1074.0,1411.0,1068.0684,1413.9937,612.48926,647.2191,408.03165,647.2191,712.54346,473.12692,408.03165,473.12692,454.1074,-1.1382082,-1.0772724,0.08618352,105.0,72.0,48.0,1598192.0,1288500.0,946207.0,612.48926,712.54346,454.1074,1136.0,1473.0,1005.0,1350.0,225.0,201.0,176.0,167.2974,134.87909,99.04815,0.77003103,0.63800645,0.63800645,-0.77003103,36.867413,21.22667,-0.22511715,-0.075906076,0.51249593,9553.0,0.596471,-0.43456885,-0.67481273,0.653614,-0.2249782,0.7226158,0.46584445,0.8720864,-0.14984731,1159.3331,1482.8418,1243.5311,1482.8418,1934.3972,1650.9445,1243.5311,1650.9445,1881.9487,-0.28123587,-0.677487,-0.6900653,1159.3331,1934.3972,1881.9487,3310706.0,3169957.0,3011863.0,101.0,75.0,66.0,255.0,255.0,255.0,223.77196,214.25867,203.57303,-0.869625,-0.73083,-0.5748534,9553.0,1072.813,1406.6405,0.5928753,56.653,-2.1130195,16113.0,0.64314246,5.0,1068.0684,1413.9937,2040354.5,1070.0,1411.0,1312.0
